scientificName,.family_names,clean_family_names,.uncer_terms,uncer_terms,clean_uncer_terms,.other_issues,clean_other_issues,.infraesp_names,infraesp_term,names_clean,cardinality,quality
Isochilus linearis,TRUE,Isochilus linearis,TRUE,,Isochilus linearis,TRUE,Isochilus linearis,TRUE,,Isochilus linearis,2,1
Peperomia alata,TRUE,Peperomia alata,TRUE,,Peperomia alata,TRUE,Peperomia alata,TRUE,,Peperomia alata,2,1
Pabstiella alligatorifera,TRUE,Pabstiella alligatorifera,TRUE,,Pabstiella alligatorifera,TRUE,Pabstiella alligatorifera,TRUE,,Pabstiella alligatorifera,2,1
Anthurium parvum,TRUE,Anthurium parvum,TRUE,,Anthurium parvum,TRUE,Anthurium parvum,TRUE,,Anthurium parvum,2,1
Monstera adansonii,TRUE,Monstera adansonii,TRUE,,Monstera adansonii,TRUE,Monstera adansonii,TRUE,,Monstera adansonii,2,1
Polycycnis silvana,TRUE,Polycycnis silvana,TRUE,,Polycycnis silvana,TRUE,Polycycnis silvana,TRUE,,Polycycnis silvana,2,1
Begonia herbacea,TRUE,Begonia herbacea,TRUE,,Begonia herbacea,TRUE,Begonia herbacea,TRUE,,Begonia herbacea,2,1
Vriesea penduliflora,TRUE,Vriesea penduliflora,TRUE,,Vriesea penduliflora,TRUE,Vriesea penduliflora,TRUE,,Vriesea penduliflora,2,1
Nematanthus strigillosus,TRUE,Nematanthus strigillosus,TRUE,,Nematanthus strigillosus,TRUE,Nematanthus strigillosus,TRUE,,Nematanthus strigillosus,2,1
Tillandsia tenuifolia,TRUE,Tillandsia tenuifolia,TRUE,,Tillandsia tenuifolia,TRUE,Tillandsia tenuifolia,TRUE,,Tillandsia tenuifolia,2,1
Pabstiella mirabilis,TRUE,Pabstiella mirabilis,TRUE,,Pabstiella mirabilis,TRUE,Pabstiella mirabilis,TRUE,,Pabstiella mirabilis,2,1
Elaphoglossum prestonii,TRUE,Elaphoglossum prestonii,TRUE,,Elaphoglossum prestonii,TRUE,Elaphoglossum prestonii,TRUE,,Elaphoglossum prestonii,2,1
Tillandsia recurvata,TRUE,Tillandsia recurvata,TRUE,,Tillandsia recurvata,TRUE,Tillandsia recurvata,TRUE,,Tillandsia recurvata,2,1
Aechmea recurvata,TRUE,Aechmea recurvata,TRUE,,Aechmea recurvata,TRUE,Aechmea recurvata,TRUE,,Aechmea recurvata,2,1
Vriesea flava,TRUE,Vriesea flava,TRUE,,Vriesea flava,TRUE,Vriesea flava,TRUE,,Vriesea flava,2,1
Grandiphyllum divaricatum,TRUE,Grandiphyllum divaricatum,TRUE,,Grandiphyllum divaricatum,TRUE,Grandiphyllum divaricatum,TRUE,,Grandiphyllum divaricatum,2,1
Epidendrum secundum,TRUE,Epidendrum secundum,TRUE,,Epidendrum secundum,TRUE,Epidendrum secundum,TRUE,,Epidendrum secundum,2,1
Acianthera luteola,TRUE,Acianthera luteola,TRUE,,Acianthera luteola,TRUE,Acianthera luteola,TRUE,,Acianthera luteola,2,1
Codonanthe gracilis,TRUE,Codonanthe gracilis,TRUE,,Codonanthe gracilis,TRUE,Codonanthe gracilis,TRUE,,Codonanthe gracilis,2,1
Rhipsalis teres,TRUE,Rhipsalis teres,TRUE,,Rhipsalis teres,TRUE,Rhipsalis teres,TRUE,,Rhipsalis teres,2,1
