original_site_code,sitename,lat,long,country,species_name
AmzAM228,"Tefé, Lago Caiambé, floresta inundável de água negra",-3.61083333333333,-64.4736111111111,Brasil,Pouteria elegans
AmzAM034,"Manaus, Campus da UFAM, floresta pluvial de terra firme",-3.09111111111111,-59.9594444444444,Brasil,Protium spruceanum
AtlMG080,"Pico do Itambé, nanofloresta rupícola",-18.4319444444444,-43.3625,Brasil,Paralychnophora bicolor
AtlRJ022,"Rio das Ostras, Reserva União, floresta pluvial",-22.4372222222222,-42.0297222222222,Brasil,Myrcia tijucensis
CaaAL012,"Arapiraca, floresta decídua",-9.71166666666667,-36.6522222222222,Brasil,Urera baccifera
AmzAM145,"Itapiranga, floresta pluvial de terra firme",-2.71694444444444,-58.1247222222222,Brasil,Goupia glabra
AtlES015,"Nova Almeida, mosaico flúvio-arenícola costeiro",-20.0386111111111,-40.2077777777778,Brasil,Sorocea hilarii
AtlRJ031,"Seropédica, floresta pluvial",-22.7283333333333,-43.7097222222222,Brasil,Machaerium stipitatum
AtlMG011,"Marilac, floresta semidecídua",-18.4933333333333,-42.0708333333333,Brasil,Siparuna bifida
AtlAL019,"Maceió, Parque Florestal, floresta pluvial",-9.60194444444445,-35.7636111111111,Brasil,Psychotria jambosioides
CerTO001,"Araguacema, Rio Caiapó, floresta estacional inundável",-8.87222222222222,-49.6086111111111,Brasil,Eugenia inundata
AtlBA074,"Itamaraju, floresta pluvial",-17.0558333333333,-39.7197222222222,Brasil,Ceiba ventricosa
AtlAL018,"Rio Largo, floresta pluvial",-9.51055555555556,-35.9130555555556,Brasil,Cupania oblongifolia
AtlSP145,"Rosana, floresta semidecídua",-22.5683333333333,-53.0622222222222,Brasil,Platymiscium floribundum
AtlSP051,"Biritiba-Mirim, floresta pluvial",-23.7052777777778,-46.0405555555556,Brasil,Ilex paraguariensis
AtlES075,"Serra das Torres, floresta nebular",-21.0141666666667,-41.2402777777778,Brasil,Ocotea domatiata
CerMA011,"Santa Quitéria e Luzilândia, Rio Parnaíba, floresta ripícola",-3.4475,-42.5036111111111,Brasil,Trema micrantha
CaaPI001,"Paulistana, caatinga quartzosa",-8.0275,-41.0805555555556,Brasil,Mimosa tenuiflora
CerMG095,"Iguatama, floresta ripícola",-20.1438888888889,-45.6533333333333,Brasil,Anadenanthera peregrina
AmzAM121,"Manaus, Tarumã-Mirim, nanofloresta de areias brancas",-2.945,-60.2102777777778,Brasil,Tapirira guianensis
AtlPR116,"Bandeirantes do Paraná, floresta semidecídua",-23.1636111111111,-50.3402777777778,Brasil,Schinus terebinthifolius
AtlMG061,"Piranga, floresta semidecídua",-20.6286111111111,-43.3719444444444,Brasil,Astrocaryum aculeatissimum
AmzPA005,"Salinópolis, Praia do Atalaia, mosaico flúvio-arenícola costeiro",-0.611388888888889,-47.3172222222222,Brasil,Laguncularia racemosa
CerMG106,"Buritizeiro, floresta decídua",-17.2647222222222,-44.9402777777778,Brasil,Cordiera sessilis
AtlBA011,"Itacaré, Rio de Contas, mosaico arenícola costeiro",-14.2616666666667,-39.0066666666667,Brasil,Jacaranda obovata
AmzAM134,"Serra do Aracá, Maciço Sul, nanofloresta nebular",0.874722222222222,-63.2380555555556,Brasil,Bonyunia antoniifolia
AtlAL013,"Matriz de Camaragibe, floresta pluvial",-9.03222222222222,-35.5855555555556,Brasil,Hymenaea courbaril
