Nome da instituicao,Sigla da instituicao,Nome da base de dados,Sigla da base de dados,Responsavel pelo registro,Numero do registro no portal,Numero do registro na base de dados,Data do registro,Data do evento,Data de Carencia,Nome cientifico,Nome comum,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Reino,Filo,Classe,Ordem,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Pais,Estado/Provincia,Municipio,Status de Sensibilidade,Latitude,Longitude,Outras informacoes da localidade,Jurisdicao,Destino do Material
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,M.A.Jaramillo,RB00484561,790,24/11/2004,NA,30/10/2017,Piper,NA,Piper ovatum Vahl,genus,NA,NA,Magnoliophyta,Magnoliopsida,Piperales,Piperaceae,Piper,NA,Espécie Ameaçada,Em Perigo,"Vale do Rio Doce, Forest Reserve, near Barra Seca River.",Brasil,Espírito Santo,Sooretama,Espécie não Sensível,-19.0833333,-39.8833333,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,B.M. Gomes,RB00767241,552,23/10/2011,NA,30/10/2017,Alchornea discolor,NA,Alchornea discolor Poepp.,species,NA,NA,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Alchornea,Alchornea discolor,Espécie não Ameaçada,NA,"Próximo ao fragmento florestal de n.9, na Linha de Transmissão.",Brasil,Rondônia,Porto Velho,Espécie não Sensível,-9.2702778,-64.4577778,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,ROBSON D. RIBEIRO,RB00166208,134,24/03/2004,NA,30/10/2017,Piptadenia trisperma,NA,Piptadenia trisperma (Vell.) Benth.,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Piptadenia,Piptadenia trisperma,Espécie não Ameaçada,NA,FAZENDA MARIBONDO/FAZENDA MONTE VERDE.,Brasil,Rio de Janeiro,Araruama,Espécie não Sensível,-22.8125,-42.4022222,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,M. N. Silva,RB00269308,102,25/04/1983,NA,30/10/2017,Olacaceae,NA,OLACACEAE,family,NA,NA,Magnoliophyta,Magnoliopsida,Santalales,Olacaceae,NA,NA,Espécie não Ameaçada,NA,"Serra do Cachimbo, arredores da Base àrea do Cachimbo, próx. do lago azul.",Brasil,Pará,Itaituba,Espécie não Sensível,-9.3666667,-54.9,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,F.B. Matos,RB00766460,1896,01/11/2003,NA,30/10/2017,Sloanea,NA,Sloanea hirsuta (Schott) Planch. ex Benth.,genus,NA,NA,Magnoliophyta,Magnoliopsida,Malvales,Elaeocarpaceae,Sloanea,NA,Espécie Ameaçada,Em Perigo,Parque Nacional do Descobrimento. Entrada a direita no km 18 da estrada principal que atravessa o Parque.,Brasil,Bahia,Prado,Espécie não Sensível,-17.1833333,-39.3333333,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Marcos Bergmann Carlucci,383613,"Nº Da Autorização/Licença Sisbio: 30669, Projeto: Padrões De Organização De Comunidades Arbóreas E Arbustivas Em Expansão Sobre Campos Nativos No Sul Do Brasil - O Papel De Dimensões Do Nicho E Da Filogenia Da Escala Local À Regional",04/04/2013,05/04/2013 a 05/04/2013,29/09/2018,Prunus subcoriacea,NA,Prunus subcoriacea,species,1,NA,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus subcoriacea,Espécie não Ameaçada,NA,Próximo A Apa Do Ibirapuitã,Brasil,RS,Santana Do Livramento,Espécie não Sensível,-30.72,-55.51,Coordenada aproximada,NA,Destinado a laboratório
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,J.F.A. Baumgratz,RB01136951,1506,08/06/2016,NA,30/10/2017,Tibouchina heteromalla,NA,Tibouchina heteromalla (D.Don) Cogn.,species,NA,NA,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Tibouchina,Tibouchina heteromalla,Espécie não Ameaçada,NA,"Área de amortecimento do Parque Estadual de Desengano, em Floresta Ombrófila Densa Sub-montana. Na estrada p/ Morumbeca dos Marreiros. Parque Estadual de Desengano",Brasil,Rio de Janeiro,Santa Maria Madalena,Espécie não Sensível,21.8825,41.9441666,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,Alexandre Quinet,RB00311121,35/67,25/01/2001,NA,30/10/2017,Myrceugenia myrcioides,NA,Myrceugenia myrcioides (Cambess.) O.Berg,species,NA,NA,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Myrceugenia,Myrceugenia myrcioides,Espécie não Ameaçada,NA,"Distrito de Piabetá, Estrada do Matão.",Brasil,Rio de Janeiro,Magé,Espécie não Sensível,-22.5666667,-43.1186111,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R. Marquete,RB00337877,3093,25/09/2001,NA,30/10/2017,Coccocypselum erythrocephalum,NA,Coccocypselum erythrocephalum Cham. & Schltdl.,species,NA,NA,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Coccocypselum,Coccocypselum erythrocephalum,Espécie não Ameaçada,NA,"Distrtito de conceição do Ibitipoca. Parque estadual de ibitipoca, trilha descendo da lombada para a base do parque. . Parque Estadual de Ibitipoca",Brasil,Minas Gerais,Lima Duarte,Espécie não Sensível,-21.6877777,-45.8905555,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,D. Monteiro,RB00490590,58,08/08/2004,NA,30/10/2017,Piper,NA,Piper scabrellum Yunck.,genus,NA,NA,Magnoliophyta,Magnoliopsida,Piperales,Piperaceae,Piper,NA,Espécie Ameaçada,Em Perigo,"Estrada para o Véu de Noiva, próximo à cachoeira do Itaporani. Parque Nacional de Itatiaia",Brasil,Rio de Janeiro,Itatiaia,Espécie não Sensível,-22.4247223,-44.6213889,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,P. Leitman,RB00625485,99,18/02/2011,NA,30/10/2017,Stelis megantha,NA,Stelis megantha Barb.Rodr.,species,NA,NA,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Stelis,Stelis megantha,Espécie não Ameaçada,NA,"Parque Nacional de Serra das Lontras, trilha do Talhão I.",Brasil,Bahia,Arataca,Espécie não Sensível,-15.1727778,-39.3513889,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Lucia Helena Soares E Silva,301966,"Nº Da Autorização/Licença Sisbio: 33212, Projeto: Levantamento De Orchidaceae Nas Matas De Galeria E Ciliar Da Área1 Da Flona  De Brasília",30/04/2012,01/05/2012 a 01/05/2012,12/09/2017,Isabelia violacea,NA,Isabelia violacea,species,1,NA,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Isabelia,Isabelia violacea,Espécie não Ameaçada,NA,Floresta Nacional De Brasília,Brasil,DF,NA,Espécie não Sensível,-15.790111,-48.067667,Coordenada de referência da área amostrada,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A. KRAPOVICKAS,RB00169310,30025,13/12/1976,NA,30/10/2017,Arachis cryptopotamica,NA,Arachis cryptopotamica Krapov. & W.C.Greg.,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis cryptopotamica,Espécie não Ameaçada,NA,MUN . COXIM-CORUMBÁ . PANTANAL  DE PAIAGUAS   65-70   KM W DEESTRADA CUIABÁ-CAMPO  GRANDE KM 379    FAZ. BURITI.,Brasil,Mato Grosso,NA,Espécie não Sensível,-18,-55.25,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"R. Goldenberg et. al.,",RB00932871,1747,20/02/2014,NA,30/10/2017,Bertolonia,NA,Bertolonia,genus,NA,NA,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Bertolonia,NA,Espécie Ameaçada,Criticamente em Perigo,"Nova Eserança, E.E., trilha do Rio Vermelho.",Brasil,Bahia,Wenceslau Guimarães,Espécie não Sensível,-13.5666667,-39.6833333,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,F.B. Matos,RB01369695,2048,07/02/2012,NA,30/10/2017,Dryopteridaceae,NA,DRYOPTERIDACEAE,family,NA,NA,Pteridophyta,Filicopsida,Polypodiales,Dryopteridaceae,NA,NA,Espécie não Ameaçada,NA,Parque Nacional do Itatiaia. Trilha entre a Piscina da Maromba e Cachoeira Véu-de-Noiva,Brasil,Rio de Janeiro,Itatiaia,Espécie não Sensível,-22.4277778,-44.6197223,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,Maria  Lenise Guedes,RB00069262,2573,13/11/1992,NA,30/10/2017,Hirtella racemosa,NA,Hirtella racemosa var. hispida Prance,species,NA,NA,Magnoliophyta,Magnoliopsida,Rosales,Chrysobalanaceae,Hirtella,Hirtella racemosa,Espécie não Ameaçada,NA,Salvador - Area de Pituaçu.,Brasil,Bahia,NA,Espécie não Sensível,-12.9516667,-38.42,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Prímula Viana Campos,840500,"Nº Da Autorização/Licença Sisbio: 44718, Projeto: Estudo Da Diversidade E Relação Solo- Vegetação Em Campos De Altitude, Parque Nacional Do Caparaó.",14/06/2014,15/06/2014 a 20/08/2014,19/03/2020,Achyrocline satureioides,NA,Achyrocline satureioides,species,2,NA,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Achyrocline,Achyrocline satureioides,Espécie não Ameaçada,NA,Parque Nacional De Caparao,Brasil,MG,NA,Espécie não Sensível,-20.442778,-41.807778,Coordenada de referência da área amostrada,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,T.E. Almeida,RB01190183,4262,14/03/2016,NA,30/10/2017,Licania,NA,Licania,genus,NA,NA,Magnoliophyta,Magnoliopsida,Rosales,Chrysobalanaceae,Licania,NA,Espécie Ameaçada,Em Perigo,Distrito de Alter do Chão. Margens do Lago Verde.,Brasil,Pará,Santarém,Espécie não Sensível,-2.4919444,-54.9422222,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"Valadares, R.T.",RB01331872,1076,27/07/2012,NA,30/10/2017,Asterostigma,NA,Asterostigma,genus,NA,NA,Magnoliophyta,Liliopsida,Alismatales,Araceae,Asterostigma,NA,Espécie não Ameaçada,NA,"APA do Mestre Alvaro. Floresta Ombrófila Densa, margem de córrego após a Pedra do Papagaio.",Brasil,Espírito Santo,Serra,Espécie não Sensível,-20.1619444,-40.3066667,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Pedro Lage Viana,860746,"Nº Da Autorização/Licença Sisbio: 47856, Projeto: Flora E Florística Dos Campos Rupestres De Canga Da Serra Dos Carajás",26/04/2015,27/04/2015 a 27/04/2015,13/04/2017,Lythraceae,NA,Lythraceae,family,1,NA,Magnoliophyta,Magnoliopsida,Myrtales,Lythraceae,NA,NA,Espécie não Ameaçada,NA,Floresta Nacional De Carajás,Brasil,PA,NA,Espécie não Sensível,-6.101389,-50.128333,Coordenada exata da ocorrência,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,M. Salazar Yepes & A.A. Carvalho Jr.,RB00518862,419/07,11/06/2007,NA,30/10/2017,Plantae,NA,INDETERMINADA,kingdom,NA,NA,NA,NA,NA,NA,NA,NA,Espécie não Ameaçada,NA,"PARNA-Itatiaia, Km 11 da estrada Brejo da Lapa-Visconde de Mauá.",Brasil,Minas Gerais,Itamonte,Espécie não Sensível,-22.4502778,-44.765,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Ana Carolina Maioli Campos Barbosa,795859,"Nº Da Autorização/Licença Sisbio: 39814, Projeto: Fenologia E Reconstrução Do Crescimento De Araucaria Angustifolia Na Rppn Alto-Montana - Apa Da Mantiqueira",31/01/2015,01/02/2015 a 30/04/2015,16/04/2017,Araucaria angustifolia,NA,Araucaria angustifolia,species,60,NA,Pinophyta,Pinopsida,Pinales,Araucariaceae,Araucaria,Araucaria angustifolia,Espécie Ameaçada,Em Perigo,Área De Proteção Ambiental Da Serra Da Mantiqueira,Brasil,MG,NA,Espécie não Sensível,-22.372778,-44.8075,Coordenada de referência da área amostrada,NA,Destinado a laboratório
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R.C. Forzza,RB00929983,8045,22/04/2014,NA,30/10/2017,Mucuna,NA,Mucuna,genus,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Mucuna,NA,Espécie não Ameaçada,NA,Margens do Igarapé Preto. Parque Estadual da Serra do Aracá,Brasil,Amazonas,Barcelos,Espécie não Sensível,0.8369444,-63.3280556,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,E.M.Saddi,RB00838004,969,26/10/2013,NA,30/10/2017,Couepia uiti,NA,Couepia uiti (Mart. & Zucc.) Benth. ex Hook.f.,species,NA,NA,Magnoliophyta,Magnoliopsida,Rosales,Chrysobalanaceae,Couepia,Couepia uiti,Espécie não Ameaçada,NA,Ponto C3 referente aos estudos para o EIA da LT Presidente Dutra - Teresina II - Sobral III.,Brasil,Piauí,Campo Maior,Espécie não Sensível,-4.9005556,-42.2602778,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A.A.M. de Barros,RB00879977,4905,14/05/2013,NA,30/10/2017,Stemodia,NA,Stemodia trifoliata (Link) Rchb.,genus,NA,NA,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,Stemodia,NA,Espécie Ameaçada,Vulnerável,"Jurujuba, Área de Proteção Ambiental do Morro do Morcego, Fortaleza de Santa Cruz e dos Fortes São Luiz e Rio Branco, Morro do Pico, Trilha para o Forte do Pico.",Brasil,Rio de Janeiro,Niterói,Espécie não Sensível,-22.9755556,-43.0136111,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Barbara Rocha Venancio,924021,"Nº Da Autorização/Licença Sisbio: 49369, Projeto: Projeto Em Grande Escala Na Verificação Genética De Madeira",24/09/2015,25/09/2015 a 27/09/2015,02/07/2020,Manilkara huberi,NA,Manilkara huberi,species,1,NA,Magnoliophyta,Magnoliopsida,Ericales,Sapotaceae,Manilkara,Manilkara huberi,Espécie não Ameaçada,NA,Reserva Extrativista Tapajós Arapiuns,Brasil,PA,NA,Espécie não Sensível,-3.127222,-55.311389,Coordenada exata da ocorrência,NA,Destinado a laboratório
