input,sort,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
GBIF:7304873,54,GBIF:7304873,Piper arboreum arboreum,variety,accepted,GBIF:7304873,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,arboreum,arboreum,7304860,,,Jaborandi-pimenta
GBIF:8800036,55,GBIF:8800036,Mimosa hypoglauca hypoglauca,subspecies,accepted,GBIF:8800036,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,hypoglauca,hypoglauca,2969342,,,
GBIF:7224632,56,GBIF:7224632,Mimosa hypoglauca hypoglauca,variety,accepted,GBIF:7224632,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,hypoglauca,hypoglauca,2969342,,,
GBIF:3244241,57,GBIF:3244241,Poiretia,genus,accepted,GBIF:3244241,Animalia,Mollusca,Gastropoda,Stylommatophora,Spiraxidae,Poiretia,,,2621,,"P.Fischer, 1883",
GBIF:5355184,58,GBIF:5355184,Poiretia,genus,accepted,GBIF:5355184,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Poiretia,,,5386,,Vent.,
GBIF:7793178,59,,,,,,,,,,,,,,,,,
GBIF:2139864,60,GBIF:2139864,Melpomene,genus,accepted,GBIF:2139864,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Melpomene,,,7353,,"O.P.-Cambridge, 1898",
GBIF:3229332,61,GBIF:3229332,Melpomene,genus,accepted,GBIF:3229332,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Melpomene,,,2368,,A.R.Sm. & R.C.Moran,dwarf polypody
GBIF:8069610,62,GBIF:8069610,Anthodiscus,genus,accepted,GBIF:8069610,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Anthodiscus,,,7616644,,"E.Grove & G.Sturt, 1887",
GBIF:3231310,63,GBIF:3231310,Anthodiscus,genus,accepted,GBIF:3231310,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Caryocaraceae,Anthodiscus,,,6647,,G.Mey.,
GBIF:9181759,64,GBIF:9181759,Cabralea canjerana canjerana,variety,accepted,GBIF:9181759,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Cabralea,canjerana,canjerana,7271502,,,
GBIF:7271503,65,GBIF:7271503,Cabralea canjerana canjerana,subspecies,accepted,GBIF:7271503,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Cabralea,canjerana,canjerana,7271502,,,trompillo macho
GBIF:7229347,66,GBIF:7229347,Pityrogramma calomelanos calomelanos,variety,accepted,GBIF:7229347,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Pityrogramma,calomelanos,calomelanos,2651790,,,silver fern
GBIF:9199532,67,GBIF:9199532,Pityrogramma calomelanos calomelanos,form,accepted,GBIF:9199532,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Pityrogramma,calomelanos,calomelanos,2651790,,,
GBIF:3255065,68,GBIF:3255065,Dicranella,genus,accepted,GBIF:3255065,Animalia,Arthropoda,Ostracoda,Palaeocopida,Tvaerenellidae,Dicranella,,,4808607,,"Ulrich, 1894",
GBIF:2673509,69,GBIF:2673509,Dicranella,genus,accepted,GBIF:2673509,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranella,,,4635,,Schimp. (Müll.Hal.),pluisjesmos
GBIF:1001708,70,GBIF:1001708,Pedipartia,genus,accepted,GBIF:1001708,Animalia,Rotifera,Eurotatoria,Ploima,Dicranophoridae,Pedipartia,,,3883,,"Myers, 1937",
GBIF:8744246,71,GBIF:8744246,Polygala harleyi harleyi,subspecies,accepted,GBIF:8744246,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,harleyi,harleyi,7293579,,,
GBIF:7293580,72,GBIF:7293580,Polygala harleyi harleyi,variety,accepted,GBIF:7293580,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,harleyi,harleyi,7293579,,,
GBIF:1380753,73,GBIF:1380753,Alibertia,genus,accepted,GBIF:1380753,Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Alibertia,,,5505,,"Risbec, 1951",
GBIF:2896652,74,GBIF:2896652,Alibertia,genus,accepted,GBIF:2896652,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Alibertia,,,8798,,A.Rich. ex DC.,
GBIF:3245585,75,GBIF:3245585,Radula,genus,accepted,GBIF:3245585,Animalia,Mollusca,,,,Radula,,,52,,"Gray, 1842",
GBIF:2688754,76,GBIF:2688754,Radula,genus,accepted,GBIF:2688754,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Radulaceae,Radula,,,2266,,Dumort.,schijfjesmos
