scientificName,.uncer_terms,.infraesp_names,names_clean,quality
Aechmea mertensii,TRUE,TRUE,Aechmea mertensii,1
Vriesea gigantea,TRUE,TRUE,Vriesea gigantea,1
Philodendron loefgrenii,TRUE,TRUE,Philodendron loefgrenii,1
Campyloneurum nitidum,TRUE,TRUE,Campyloneurum nitidum,1
Ficus crocata,TRUE,TRUE,Ficus crocata,1
Sinningia cooperi,TRUE,TRUE,Sinningia cooperi,1
Gomesa concolor,TRUE,TRUE,Gomesa concolor,1
Quesnelia strobilispica,TRUE,TRUE,Quesnelia strobilispica,1
Tillandsia geminiflora,TRUE,TRUE,Tillandsia geminiflora,1
Acianthera luteola,TRUE,TRUE,Acianthera luteola,1
Capanemia adelaidae,TRUE,TRUE,Capanemia adelaidae,1
Billbergia iridifolia,TRUE,TRUE,Billbergia iridifolia,1
Leucotrichum organense,TRUE,TRUE,Leucotrichum organense,1
Tillandsia stricta,TRUE,TRUE,Tillandsia stricta,1
Encyclia patens,TRUE,TRUE,Encyclia patens,1
Aechmea multiflora,TRUE,TRUE,Aechmea multiflora,1
Epidendrum armeniacum,TRUE,TRUE,Epidendrum armeniacum,1
Vriesea longicaulis,TRUE,TRUE,Vriesea longicaulis,1
Lepismium lumbricoides,TRUE,TRUE,Lepismium lumbricoides,1
Hohenbergia hatschbachii,TRUE,TRUE,Hohenbergia hatschbachii,1
Tillandsia stricta,TRUE,TRUE,Tillandsia stricta,1
Brasiliorchis picta,TRUE,TRUE,Brasiliorchis picta,1
Cattleya coccinea,TRUE,TRUE,Cattleya coccinea,1
Philodendron ornatum,TRUE,TRUE,Philodendron ornatum,1
Billbergia distachia,TRUE,TRUE,Billbergia distachia,1
Peperomia pernambucensis,TRUE,TRUE,Peperomia pernambucensis,1
Monstera adansonii,TRUE,TRUE,Monstera adansonii,1
Campyloneurum crispum,TRUE,TRUE,Campyloneurum crispum,1
Pabstiella mentigera,TRUE,TRUE,Pabstiella mentigera,1
Vriesea gigantea,TRUE,TRUE,Vriesea gigantea,1
Campyloneurum crispum,TRUE,TRUE,Campyloneurum crispum,1
Tillandsia polystachia,TRUE,TRUE,Tillandsia polystachia,1
Cochlidium punctatum,TRUE,TRUE,Cochlidium punctatum,1
Microgramma squamulosa,TRUE,TRUE,Microgramma squamulosa,1
Peperomia quadrifolia,TRUE,TRUE,Peperomia quadrifolia,1
Nematanthus monanthos,TRUE,TRUE,Nematanthus monanthos,1
Epidendrum avicula,TRUE,TRUE,Epidendrum avicula,1
Peperomia clivicola,TRUE,TRUE,Peperomia clivicola,1
Pleopeltis pleopeltidis,TRUE,TRUE,Pleopeltis pleopeltidis,1
Nematanthus crassifolius,TRUE,TRUE,Nematanthus crassifolius,1
Vriesea ensiformis,TRUE,TRUE,Vriesea ensiformis,1
Pleopeltis hirsutissima,TRUE,TRUE,Pleopeltis hirsutissima,1
Anathallis microgemma,TRUE,TRUE,Anathallis microgemma,1
Specklinia grobyi,TRUE,TRUE,Specklinia grobyi,1
Serpocaulon catharinae,TRUE,TRUE,Serpocaulon catharinae,1
Vriesea scalaris,TRUE,TRUE,Vriesea scalaris,1
Monstera adansonii,TRUE,TRUE,Monstera adansonii,1
Codonanthe gracilis,TRUE,TRUE,Codonanthe gracilis,1
Philodendron appendiculatum,TRUE,TRUE,Philodendron appendiculatum,1
Nidularium procerum,TRUE,TRUE,Nidularium procerum,1
Tillandsia usneoides,TRUE,TRUE,Tillandsia usneoides,1
Microgramma squamulosa,TRUE,TRUE,Microgramma squamulosa,1
Phymatidium delicatulum,TRUE,TRUE,Phymatidium delicatulum,1
Vriesea friburgensis,TRUE,TRUE,Vriesea friburgensis,1
Quesnelia quesneliana,TRUE,TRUE,Quesnelia quesneliana,1
Aechmea recurvata,TRUE,TRUE,Aechmea recurvata,1
Peperomia rotundifolia,TRUE,TRUE,Peperomia rotundifolia,1
Peperomia tetraphylla,TRUE,TRUE,Peperomia tetraphylla,1
Aechmea weilbachii,TRUE,TRUE,Aechmea weilbachii,1
Microgramma squamulosa,TRUE,TRUE,Microgramma squamulosa,1
Microgramma squamulosa,TRUE,TRUE,Microgramma squamulosa,1
Capanemia superflua,TRUE,TRUE,Capanemia superflua,1
Cattleya coccinea,TRUE,TRUE,Cattleya coccinea,1
Acianthera translucida,TRUE,TRUE,Acianthera translucida,1
Anthurium pentaphyllum,TRUE,TRUE,Anthurium pentaphyllum,1
Tillandsia tenuifolia,TRUE,TRUE,Tillandsia tenuifolia,1
Tillandsia recurvata,TRUE,TRUE,Tillandsia recurvata,1
Peperomia circinnata,TRUE,TRUE,Peperomia circinnata,1
Asplenium oligophyllum,TRUE,TRUE,Asplenium oligophyllum,1
Codonanthe gracilis,TRUE,TRUE,Codonanthe gracilis,1
Microgramma tecta,TRUE,TRUE,Microgramma tecta,1
Peperomia rotundifolia,TRUE,TRUE,Peperomia rotundifolia,1
Crepidomanes pyxidiferum,TRUE,TRUE,Crepidomanes pyxidiferum,1
Lymania azurea,TRUE,TRUE,Lymania azurea,1
Pabstiella ramphastorhyncha,TRUE,TRUE,Pabstiella ramphastorhyncha,1
Cattleya mantiqueirae,TRUE,TRUE,Cattleya mantiqueirae,1
Pleopeltis pleopeltifolia,TRUE,TRUE,Pleopeltis pleopeltifolia,1
Acianthera langeana,TRUE,TRUE,Acianthera langeana,1
Peperomia nitida,TRUE,TRUE,Peperomia nitida,1
Pleopeltis pleopeltifolia,TRUE,TRUE,Pleopeltis pleopeltifolia,1
Bulbophyllum kautskyi,TRUE,TRUE,Bulbophyllum kautskyi,1
Pabstiella fusca,TRUE,TRUE,Pabstiella fusca,1
Tillandsia recurvata,TRUE,TRUE,Tillandsia recurvata,1
Aechmea pineliana,TRUE,TRUE,Aechmea pineliana,1
Lepismium houlletianum,TRUE,TRUE,Lepismium houlletianum,1
Campylocentrum aromaticum,TRUE,TRUE,Campylocentrum aromaticum,1
Tillandsia recurvata,TRUE,TRUE,Tillandsia recurvata,1
Monstera adansonii,TRUE,TRUE,Monstera adansonii,1
Laelia gloriosa,TRUE,TRUE,Laelia gloriosa,1
Microgramma squamulosa,TRUE,TRUE,Microgramma squamulosa,1
Campyloneurum austrobrasilianum,TRUE,TRUE,Campyloneurum austrobrasilianum,1
Vriesea scalaris,TRUE,TRUE,Vriesea scalaris,1
Vriesea ensiformis,TRUE,TRUE,Vriesea ensiformis,1
Philodendron propinquum,TRUE,TRUE,Philodendron propinquum,1
Lankesterella ceracifolia,TRUE,TRUE,Lankesterella ceracifolia,1
Asplenium gastonis,TRUE,TRUE,Asplenium gastonis,1
Epidendrum nocturnum,TRUE,TRUE,Epidendrum nocturnum,1
Rhipsalis floccosa,TRUE,TRUE,Rhipsalis floccosa,1
