original_site_code,sitename,lat,long,country,species_name
AtlBA073,"Eunápolis, floresta pluvial",-16.2363888888889,-39.5591666666667,Brasil,Myrciaria floribunda
AtlMG113,"Esmeraldas, floresta semidecídua",-19.7905555555556,-44.1641666666667,Brasil,Machaerium brasiliense
CaaMG016,"Pai Pedro, caatinga arbórea",-15.5611111111111,-43.2241666666667,Brasil,Handroanthus impetiginosus
AmzPA110,"Dom Eliseu e Itinga, floresta estacional de terra firme",-4.26972222222222,-47.4522222222222,Brasil,Palicourea guianensis
AmzPA175,"Jacareacanga, floresta pluvial de terra firme",-6.23166666666667,-57.8302777777778,Brasil,Guatteria discolor
AtlPE021,"Palmares, floresta pluvial",-8.6775,-35.4938888888889,Brasil,Cordia toqueve
AtlES052,"Rio Bananal, floresta semidecídua",-19.2541666666667,-40.3813888888889,Brasil,Rinorea guianensis
AtlMG204,"Rio Pomba, floresta semidecídua",-21.2730555555556,-43.1052777777778,Brasil,Cupania ludowigii
AtlPB011,"Mamanguape, Pitanga da Estrada, floresta semidecídua",-6.61027777777778,-35.1341666666667,Brasil,Agonandra brasiliensis
CerTO022,"Alvorada, cerradão mesotrófico",-12.5144444444444,-49.1697222222222,Brasil,Bowdichia virgilioides
AmzAP036,"Laranjal do Jari e Monte Dourado, floresta pluvial de terra firme",-0.826388888888889,-52.4080555555556,Brasil,Clitoria arborea
AmzAP010,"Amapá, Rio Flechal, floresta ripícola",1.95277777777778,-50.7963888888889,Brasil,Pouteria elegans
AtlPR156,"Céu Azul, floresta semidecídua",-25.1908333333333,-53.8486111111111,Brasil,Myriocarpa stipitata
AmzAM157,"Maués, floresta pluvial de terra firme",-3.43611111111111,-57.6277777777778,Brasil,Myrcia cuprea
AtlMG125,"Congonhas do Norte, floresta semidecídua",-18.7819444444444,-43.6822222222222,Brasil,Dalbergia foliolosa
AtlMG173,"Poços de Caldas, floresta nebular",-21.7725,-46.5563888888889,Brasil,Pouteria gardneri
AmzAP037,"Mazagão, Resex do Rio Cajari, floresta pluvial de terra firme",-0.829722222222222,-51.8941666666667,Brasil,Guarea macrophylla
AmzAM002,"Aldeia Watoriketheri, Alto Rio Mupalaú, floresta pluvial de terra firme",1.45333333333333,-62.9927777777778,Brasil,Lindackeria paludosa
AtlSC168,"Lebon Régis, floresta estacional de araucária",-26.7302777777778,-50.6708333333333,Brasil,Myrciaria tenella
AtlSP180,"Amparo, floresta semidecídua",-22.6894444444444,-46.6675,Brasil,Cordiera concolor
CerDF005,"Águas Emendadas, floresta ripícola",-15.5405555555556,-47.575,Brasil,Blechnum schomburgkii
AtlMG218,"São Domingos da Bocaina, floresta semidecídua",-21.8038888888889,-43.9308333333333,Brasil,Aspidosperma spruceanum
AtlRJ057,"Paraty, Sete Degraus, floresta pluvial",-23.1836111111111,-44.7797222222222,Brasil,Tetrastylidium grandifolium
AmzPA197,"Altamira, Rio Xingu, floresta estacional inundável",-3.20611111111111,-52.1616666666667,Brasil,Cynometra longifolia
AmzPA106,"Belterra, Aramanaí, floresta estacional de terra firme",-2.69555555555556,-54.9822222222222,Brasil,Ocotea camphoromoea
AmzRO034,"Itapuã do Oeste, floresta pluvial de terra firme",-9.30583333333333,-63.2763888888889,Brasil,Annona paludosa
CerMG142,"Três Marias, cerradão distrófico",-18.2058333333333,-45.1844444444444,Brasil,Byrsonima crassifolia
AmzPA114,"Marabá, floresta estacional de terra firme",-5.53722222222222,-49.4219444444444,Brasil,Rinorea racemosa
AmzPA134,"Monte Dourado, Esec do Jari, floresta pluvial subserrana",-0.6425,-53.0461111111111,Brasil,Licania pallida
AtlRN014,"Goianinha, floresta semidecídua",-6.31777777777778,-35.2147222222222,Brasil,Coccoloba latifolia
PamRS011,"Rio Grande, mosaico arenícola costeiro",-32.1294444444444,-52.1388888888889,Brasil,Ficus luschnathiana
CerGO171,"Cavalcante, cerrado rupícola",-13.7916666666667,-47.395,Brasil,Ouratea hexasperma
CaaBA044,"Morpará, caatinga carbonática",-11.6688888888889,-43.2163888888889,Brasil,Centrolobium sclerophyllum
AtlMG272,"Santa Rita de Caldas, floresta semidecídua",-22.0805555555556,-46.3477777777778,Brasil,Eremanthus erythropappus
CaaBA074,"Condeúba, caatinga alcalina",-14.8527777777778,-41.8986111111111,Brasil,Terminalia fagifolia
AtlSC037,"Criciúma, floresta pluvial",-28.7091666666667,-49.4091666666667,Brasil,Tibouchina pulchra
CerGO041,"Goiandira, cerradão mesotrófico",-18.1891666666667,-48.2219444444444,Brasil,Wunderlichia mirabilis
AtlPR123,"Douradina, floresta semidecídua",-23.4477777777778,-53.3002777777778,Brasil,Picrasma crenata
AmzAM287,"São Paulo de Olivença, floresta pluvial de terra firme",-3.53472222222222,-68.9475,Brasil,Parinari excelsa
AmzRO008,"Caiçara, Ramal do Arrependido, floresta pluvial de terra firme",-9.43638888888889,-64.7441666666667,Brasil,Bixa arborea
AtlMG064,"Serra do Caraça, Santuário, floresta nebular",-20.0925,-43.4811111111111,Brasil,Simaba maiana
AmzMT020,"Colniza, Guariba, floresta estacional de terra firme",-9.3125,-60.1022222222222,Brasil,Pseudolmedia macrophylla
AtlRJ056,"Ilha Grande, Praia do Sul, floresta pluvial",-23.1619444444444,-44.2608333333333,Brasil,Cyathea glaziovii
CerGO099,"São Miguel do Araguaia, cerrado",-13.2680555555556,-49.9705555555556,Brasil,Machaerium opacum
AtlSC056,"Tijucas, floresta pluvial",-27.1802777777778,-48.7797222222222,Brasil,Psidium ovale
AtlES048,"Ibitirama, floresta pluvial",-20.5361111111111,-41.6736111111111,Brasil,Miconia lepidota
AtlSP187,"Itatinga, floresta semidecídua",-23.2658333333333,-48.5052777777778,Brasil,Manihot grahamii
CaaRN027,"Caicó, caatinga quartzosa",-6.40694444444444,-36.9986111111111,Brasil,Chloroleucon foliolosum
AmzAM174,"Itamarati, floresta pluvial de terra firme",-6.35416666666667,-68.2566666666667,Brasil,Aspidosperma desmanthum
AmzPA140,"Baixo Rio Cachorro, floresta inundável de água negra",0.0158333333333333,-57.5419444444444,Brasil,Inga cinnamomea
AtlBA002,"Esplanada, Baixio, mosaico arenícola costeiro",-12.1297222222222,-37.7130555555556,Brasil,Myrsine guianensis
AmzPA053,"Flona do Tapajós, Belterra-Km 83, floresta pluvial de terra firme",-3.0475,-54.9519444444444,Brasil,Castilla ulei
AtlSP138,"Cuiabá Paulista, floresta semidecídua",-22.2291666666667,-52.2291666666667,Brasil,Guapira opposita
CerTO064,"São Valério da Natividade, floresta ripícola",-11.7022222222222,-48.215,Brasil,Ficus adhatodifolia
AmzMA010,"Nova Olinda do Maranhão, floresta pluvial de terra firme",-2.72694444444444,-46.0122222222222,Brasil,Attalea speciosa
CerSP036,"Parque Estadual do Juquery, cerrado",-23.3477777777778,-46.7183333333333,Brasil,Trembleya parviflora
CerGO088,"Goiás Velho, floresta ripícola",-15.9258333333333,-50.0827777777778,Brasil,Casearia sylvestris
CerBA040,"Tabocas do Brejo Velho, cerrado",-12.5330555555556,-44.1708333333333,Brasil,Eugenia stictopetala
AtlRJ074,"Itatiaia, Véu da Noiva, floresta nebular",-22.4261111111111,-44.62,Brasil,Pouteria caimito
AmzAM158,"Careiro da Várzea, Vila Araçá, floresta pluvial de terra firme",-3.47611111111111,-60.0488888888889,Brasil,Tococa coronata
AmzAM164,"Borba, floresta pluvial de terra firme",-4.41972222222222,-59.5036111111111,Brasil,Hebepetalum humiriifolium
AtlMG245,"Carmo da Cachoeira, floresta semidecídua",-21.4286111111111,-45.1991666666667,Brasil,Esenbeckia febrifuga
AtlPR115,"Jacarezinho, floresta semidecídua",-23.1375,-49.7594444444444,Brasil,Ocotea corymbosa
AtlSP130,"Luiz Antônio, floresta semidecídua",-21.5819444444444,-47.9213888888889,Brasil,Bauhinia forficata
AtlPR020,"Parque Estadual das Lauráceas, floresta nebular",-24.86,-48.7075,Brasil,Persea willdenovii
AtlBA146,"Gerais da Fumaça, Palmeiras, campo rupícola",-12.5819444444444,-41.4636111111111,Brasil,Blepharocalyx salicifolius
AtlSC199,"Xavantina, floresta semidecídua",-27.0902777777778,-52.3794444444444,Brasil,Dalbergia foliolosa
AtlAL010,"Piaçabuçu, mosaico flúvio-arenícola costeiro",-10.4208333333333,-36.3752777777778,Brasil,Inga laurina
AtlRJ070,"Maciço da Tijuca, floresta pluvial",-22.9636111111111,-43.3013888888889,Brasil,Myrcia tomentosa
AtlRJ057,"Paraty, Sete Degraus, floresta pluvial",-23.1836111111111,-44.7797222222222,Brasil,Guarea kunthiana
AtlSP168,"Casa Branca, floresta semidecídua",-21.7708333333333,-47.0730555555556,Brasil,Styrax pohlii
CerMA033,"Loreto, cerrado",-7.05083333333333,-45.2336111111111,Brasil,Connarus suberosus
AmzAM060,"Ilha Acaburu, Médio Rio Negro, floresta inundável de água negra",-0.3875,-66.3352777777778,Brasil,Erisma calcaratum
AmzTO001,"Araguaína, Rio Araguaia, floresta estacional inundável",-7.35111111111111,-49.2325,Brasil,Vitex cymosa
CerMT037,"Serra Ricardo Franco, cerrado rupícola",-14.9144444444444,-60.0736111111111,Brasil,Pseudobombax longiflorum
AmzAP040,"Clevelândia do Norte e Saut Maripa, Rio Oiapoque, floresta inundável de água mista",3.80472222222222,-51.8680555555556,Brasil/France,Byrsonima japurensis
AmzRR025,"Caracaraí, Rio Anauá, floresta inundável de água negra",1.12888888888889,-60.8983333333333,Brasil,Anacardium giganteum
AtlRS107,"Canguçu, floresta semidecídua",-31.1761111111111,-52.4655555555556,Brasil,Opuntia monacantha
AmzAC009,"Sena Madureira, floresta pluvial de terra firme",-9.21083333333333,-68.4986111111111,Brasil,Cavanillesia hylogeiton
CerMA022,"Barra do Corda, nanofloresta arenícola",-5.54361111111111,-45.2983333333333,Brasil,Guarea guidonia
AtlRS131,"Pelotas, floresta semidecídua",-31.6588888888889,-52.2302777777778,Brasil,Zanthoxylum fagara
AtlPE019,"Escada, floresta pluvial",-8.335,-35.1958333333333,Brasil,Tachigali densiflora
CaaBA023,"Campo Formoso, caatinga quartzítica",-10.5572222222222,-40.4216666666667,Brasil,Gymnanthes boticario
CerGO153,"Flores de Goiás, cerradão distrófico",-14.4869444444444,-47.1713888888889,Brasil,Stryphnodendron coriaceum
CerMG110,"Uruana de Minas, floresta decídua",-16.0930555555556,-46.3802777777778,Brasil,Guapira laxa
AmzPA042,"Floresta Nacional de Caxiuanã, floresta pluvial de terra firme",-1.80277777777778,-51.4375,Brasil,Trattinnickia rhoifolia
CerGO096,"Doverlândia, cerradão mesotrófico",-16.7336111111111,-52.63,Brasil,Stryphnodendron fissuratum
CerGO131,"Formosa, floresta ripícola",-15.5366666666667,-47.2627777777778,Brasil,Astronium graveolens
CerDF005,"Águas Emendadas, floresta ripícola",-15.5405555555556,-47.575,Brasil,Ficus broadwayi
AtlSE011,"Japaratuba, floresta semidecídua",-10.5591666666667,-36.9663888888889,Brasil,Ocotea glomerata
AtlMG215,"Santa Bárbara do Monte Verde, floresta semidecídua",-21.9688888888889,-43.7713888888889,Brasil,Croton urucurana
AmzAM154,"Manacapuru, floresta pluvial de terra firme",-3.17972222222222,-60.6611111111111,Brasil,Appunia peduncularis
AmzPA113,"Itupiranga, Benfica, floresta estacional de terra firme",-5.25138888888889,-49.7727777777778,Brasil,Euterpe oleracea
AtlBA019,"Cumuruxatiba, mosaico arenícola costeiro",-17.2008333333333,-39.2163888888889,Brasil,Jacquinia armillaris
AtlSP163,"Jaboticabal, floresta semidecídua",-21.2719444444444,-48.3566666666667,Brasil,Cupania vernalis
AmzAC010,"Serra da Jaquirana, floresta pluvial subserrana",-7.32916666666667,-73.6788888888889,Brasil/Perú,Guarea carinata
AmzPA033,"São Francisco do Pará, floresta pluvial de terra firme",-1.18166666666667,-47.8225,Brasil,Eugenia belemitana
AtlMG274,"Santa Rita do Sapucaí, floresta semidecídua",-22.2625,-45.5619444444444,Brasil,Annona dolabripetala
AtlES010,"Guarapari, Setiba, mosaico arenícola costeiro",-20.6158333333333,-40.4269444444444,Brasil,Maytenus schumanniana
AtlAL030,"Junqueiro, floresta semidecídua",-9.88055555555556,-36.4272222222222,Brasil,Casearia sylvestris
AtlPR060,"Tibagi, floresta estacional de araucária",-24.4780555555556,-50.4066666666667,Brasil,Symplocos pubescens
AtlBA081,"Serra do Teimoso, Jussari, floresta pluvial",-15.1808333333333,-39.5469444444444,Brasil,Zanthoxylum rhoifolium
AtlRS089,"Araricá, floresta semidecídua",-29.5972222222222,-50.9386111111111,Brasil,Inga marginata
AtlMG011,"Marilac, floresta semidecídua",-18.4933333333333,-42.0708333333333,Brasil,Zollernia ilicifolia
AmzRR008,"Alto Rio Uraricoera, Uaicás, floresta pluvial subserrana",3.54166666666667,-63.1794444444444,Brasil,Eugenia florida
AmzRO046,"Médio Pacaás Novos, floresta inundável de água negra",-11.2536111111111,-64.5763888888889,Brasil,Machaerium quinata
CerMG243,"Comendador Gomes, cerrado",-19.4591666666667,-48.7283333333333,Brasil,Byrsonima intermedia
AtlSC018,"Garuva, Barrancos, floresta pluvial",-26.1008333333333,-48.7794444444444,Brasil,Eugenia neoglomerata
AtlPR013,"Serra do Itaqui, floresta pluvial",-25.2875,-48.4822222222222,Brasil,Chrysophyllum viride
AmzMT032,"Marcelândia, floresta estacional subserrana",-10.6016666666667,-54.0611111111111,Brasil,Aspidosperma discolor
AmzAM144,"Manaus, Silvicultura Tropical, floresta pluvial de terra firme",-2.65305555555556,-60.0966666666667,Brasil,Gaulettia racemosa
CerRO012,"Vilhena, IFRO, cerrado",-12.6983333333333,-60.1258333333333,Brasil,Bowdichia virgilioides
CerBA036,"Gerais de Riachão das Neves, cerrado",-11.6483333333333,-45.3644444444444,Brasil,Copaifera oblongifolia
AmzRO007,"Jaci Paraná, floresta pluvial de terra firme",-9.3725,-64.2794444444445,Brasil,Diospyros artanthifolia
AmzRO010,"Minas de São Lourenço, floresta pluvial subserrana",-9.50472222222222,-65.0836111111111,Brasil,Duguetia stelechantha
AtlMG170,"Bocaina de Minas, floresta nebular",-22.2166666666667,-44.54,Brasil,Eugenia cerasiflora
AtlSP174,"Brotas, floresta semidecídua",-22.3052777777778,-48.0711111111111,Brasil,Aspidosperma olivaceum
CaaPE033,"Serra do Arapuá, floresta decídua",-8.43805555555556,-38.7569444444444,Brasil,Mimosa tenuiflora
AtlMG120,"Brumadinho, floresta semidecídua",-20.1777777777778,-44.2647222222222,Brasil,Aegiphila integrifolia
AmzAM141,"São Sebastião do Uatumã, floresta pluvial de terra firme",-2.47277777777778,-57.9247222222222,Brasil,Virola michelii
AtlBA153,"Licínio de Almeida, campo rupícola",-14.5877777777778,-42.5522222222222,Brasil,Chamaecrista orbiculata
AtlSP123,"Taquaritinga, floresta semidecídua",-21.4041666666667,-48.6891666666667,Brasil,Ocotea aciphylla
AtlBA018,"Caraíva, mosaico arenícola costeiro",-16.7941666666667,-39.1461111111111,Brasil,Guapira opposita
AtlSP011,"Ilha do Cardoso, mosaico flúvio-arenícola costeiro",-25.0769444444444,-47.9313888888889,Brasil,Ternstroemia brasiliensis
AtlBA037,"Entre Rios, floresta pluvial",-11.9936111111111,-38.0980555555556,Brasil,Inga laurina
AmzMT028,"Juruena, floresta estacional de terra firme",-10.4783333333333,-58.5052777777778,Brasil,Mouriri myrtifolia
AmzPA047,"Aurora do Pará, floresta pluvial de terra firme",-2.24027777777778,-47.5980555555556,Brasil,Guarea carinata
CerTO056,"Centenário, floresta ripícola",-8.97277777777778,-47.4386111111111,Brasil,Eugenia florida
AtlSP029,"Peruíbe, floresta pluvial",-24.2491666666667,-47.0522222222222,Brasil,Calyptranthes lanceolata
AtlPE007,"Carne de Vaca, mosaico flúvio-arenícola costeiro",-7.57416666666667,-34.8430555555556,Brasil,Bredemeyera hebeclada
AtlMG132,"Serra da Moeda, floresta semidecídua",-20.2702777777778,-43.9694444444444,Brasil,Solanum cladotrichum
CerMG098,"Serra da Canastra, nanofloresta rupícola",-20.2766666666667,-46.4269444444444,Brasil,Baccharis oblongifolia
CerGO152,"Padre Bernardo, cerradão mesotrófico",-15.2052777777778,-48.4505555555556,Brasil,Magonia pubescens
AmzAM180,"Lábrea, Transamazônica, floresta pluvial de terra firme",-7.44305555555556,-64.6652777777778,Brasil,Hymenaea courbaril
AmzAM307,"Japurá, Lago Acanauê, floresta inundável de água negra",-1.84916666666667,-66.6208333333333,Brasil,Handroanthus barbatus
AmzPA174,"Parque do Jamanxim, Igarapé Kazuo, floresta pluvial de terra firme",-5.93472222222222,-55.7072222222222,Brasil,Mabea piriri
AtlPR094,"Palmeira, floresta estacional de araucária",-25.4244444444444,-50.0233333333333,Brasil,Myrcia guianensis
CerSP015,"São José do Rio Preto, cerrado",-20.8586111111111,-49.2655555555556,Brasil,Byrsonima verbascifolia
AtlMG039,"Virgem da Lapa, floresta semidecídua",-16.7516666666667,-42.2325,Brasil,Tabebuia obtusifolia
AtlBA072,"Pau Brasil, floresta pluvial",-15.4422222222222,-39.6411111111111,Brasil,Thyrsodium spruceanum
AtlSP172,"São Carlos, floresta semidecídua",-21.9683333333333,-47.8416666666667,Brasil,Leandra melastomoides
AtlBA137,"Érico Cardoso, floresta semidecídua",-13.4569444444444,-42.0858333333333,Brasil,Buchenavia tetraphylla
CerBO006,"Noel Kempf y Ricardo Franco, Río Verde, bosque estacional ribereño",-14.2952777777778,-60.4602777777778,Bolivia/Brasil,Bauhinia longifolia
AtlMG133,"Ouro Preto, Uaimií, floresta semidecídua",-20.2911111111111,-43.5480555555556,Brasil,Leucochloron incuriale
CerMT023,"Alto Boa Vista, cerrado",-11.8116666666667,-51.8925,Brasil,Simarouba versicolor
