Accepted name,Name as entered,locality/site,Country,Latitude,Longitude,Altitude (m),Vegetation type,Reference,Specimen details
Vochysia pyramidalis Mart.,Vochysia pyramidalis Mart.,"Corumbá, Fazenda Rabicho, floresta decidual",Brazil,-19.798599243164,-51.519199371338,477,Seasonally dry Deciduous Broadleaved Forest,"POTT, A.; POTT, V.J.; SCIAMARELLI, A.; SARTORI, A.L.B.; RESENDE, U.M.; SCREMIN-DIAS, E.; JACQUES, E.L.; ARAGAKI, S.; NAKAJIMA, J.N.; ROMERO, R.; CRISTALDO, A.C.M. & DAMASCENO-JÚNIOR, G.A. 2006  Inventário das angiospermas no Complexo Aporé-Sucuriú. Pp. 17",
Campomanesia guazumifolia (Cambess.) O.Berg,Campomanesia guazumifolia (Cambess.) O.Berg,"Rio Claro, floresta semidecidual",Brazil,-22.358299255371,-47.476699829102,672,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Vochysia acuminata Bong.,Vochysia acuminata Bong.,"Congonhas do Norte, floresta semidecidual",Brazil,-18.781900405884,-43.682201385498,1144,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T.; TAMEIRÃO-NETO, E.; CARVALHO, W.A.C.; BRINA, A.E.; WERNECK, M. & ; VIDAL, C.V.; REZENDE, S.C. & PEREIRA, J.A.A. 2005  Analise floristica do compartimento arboreo de areas de floresta atlantica sensu lato na regiao das Bacias do Leste (Bahia, Minas Gerais, Espirito Santo e Rio de Janeiro). (Floristic analysis of the tree component of atlantic forest areas in central eastern Brazil .)",
Rudgea viburnoides (Cham.) Benth.,Rudgea viburnoides (Cham.) Benth.,"Carmo do Rio Claro, floresta semidecidual",Brazil,-21.002799987793,-46.171100616455,877,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Mimosa claussenii Benth.,Mimosa claussenii Benth.,"Ipameri, cerrado",Brazil,-14.121999740601,-47.516998291016,,,"LENZA, E.; PINTO, J.R.R.;  PINTO, A. S.; MARACAHIPES, L.; BRUZIGUESSI, E.P. 2011 Revista Bra Comparação da vegetação arbustivo-arbórea de uma área de cerrado rupestre na Chapada dos Veadeiros, Goiás, e áreas de cerrado sentido restrito do Bioma Cerrado.",
Hymenaea martiana Hayne,Hymenaea martiana Hayne,"Rio Verde de Mato Grosso, floresta ripícola",Brazil,-21.131900787354,-55.864398956299,250,Seasonally dry Semideciduous Broadleaved Forest,"DAMASCENO-JUNIOR, G.A. ; NAKAJIMA, J.N. ; RESENDE, U.M. 2001 A Floristic Survey of the Rio Negro, Rio Aquidauana and Rio Miranda Watersheds (Headwaters) of the Pantanal, Mato Grosso do Sul, Brasil. In: WILLINK P.W.; CHERNOFF, B.; ALONSO  L.E., Montambault J.R., Lourival R (Eds.) A biological assessment of the aquatic ecosystems of the Pantanal, Mato Grosso do Sul, Brasil: Bulletin of Biological Assessment 18. Conservation International: Washington DC, USA. V. 18, Pp. 34-43.",
Calophyllum brasiliense Cambess.,Calophyllum brasiliense Cambess.,"Roda Velha, floresta ripícola",Brazil,-12.685799598694,-45.832500457764,747,Seasonally dry Semideciduous Broadleaved Forest,"MENDONÇA, R.C.; FELFILI, J. M.; FAGG, C.W; SILVA, M.A.; FILGUEIRAS, T.S. & WALTER, B.M.T. 2000 Florística da região do Espigão Mestre do São Francisco, Bahia e Minas Gerais. Boletim do Herbário Ezechias Paulo Heringer 6 (1): 38-94.",
Christiana macrodon Toledo,Christiana macrodon Toledo,"Ribeirão Preto, terra roxa, floresta semidecidual",Brazil,-21.217500686646,-47.84529876709,610,Seasonally dry Semideciduous Broadleaved Forest,"KOTCHETKOFF-HENRIQUES, O; JOLY, C.A. & BERNACCI, L.C. 2005 Relação entre solo e vegetação natural no município de Ribeirão Preto, SP. Revista Brasileira de Botânica 28 (3): 541-562.",
Zanthoxylum rhoifolium Lam.,Zanthoxylum rhoifolium Lam.,"Piumhi, floresta ripícola",Brazil,-20.440599441528,-46.001399993896,747,Seasonally dry Semideciduous Broadleaved Forest,"SCOLFORO, J.R.S. & CARVALHO, L.M.T. (EDS.) 2007 Editora UFLA, Lavras, MG, Brasil. Mapeamento e inventário da flora nativa e dos reflorestamentos de Minas Gerais.",
Eugenia dysenterica DC.,Eugenia dysenterica DC.,MT-AGUA BOA Cerrado sensu stricto CE69,Brazil,-14.166700363159,-52.375,,,"FELFILI, J.M.; NOGUEIRA, P.E.; SILVA JÚNIOR, M.C.; MARIMOM, B.S. & DELITTI, W.B.C. 2002 Composição florística e fitossociologia do cerrado sentido restrito no município de Água Boa - MT. Acta Botanica Brasilica 16 (1): 103-112.",
Chrysophyllum marginatum (Hook. & Arn.) Radlk.,Chrysophyllum marginatum (Hook. & Arn.) Radlk.,"Andradina, floresta semidecidual",Brazil,-20.743900299072,-51.262798309326,369,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",
Chloroleucon tortum (Mart.) Pittier,Chloroleucon tortum (Mart.) Pittier,Graj (Maranhão),Brazil,-5.8534498214722,-46.236198425293,,,"HAIDAR, R.F. 2017. 2017 Tese de Doutorado, Universidade de Brasília, Brasília, DF, Brasil. Núcleo de florestas tropicais sazonalmente secas do Cerrado: diversidade, fitogeografia, endemismo, fenologia foliar e os controles ambientais e espaciais. 154",
Myrcia variabilis DC.,Myrcia variabilis DC.,"Campo Grande, Mata de Galeria não inundável",Brazil,-20.559400558472,-54.399700164795,,,"BUENO, M.L. 2009 Dissertação de Mestrado, Universidade Federal do Mato Grosso do Sul, Campo Grande, MS. Fitossociologia das formações vegetais ribeirinhas na Área de Proteção Ambiental dos Mananciais do Córrego Guariroba, Campo Grande, MS, Brasil.",
Piper crassinervium Kunth,Piper crassinervium Kunth,"Rebio das Perobas, floresta semidecidual",Brazil,-23.743900299072,-49.92610168457,529,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",
Myrcia guianensis (Aubl.) DC.,Myrcia guianensis (Aubl.) DC.,"Serra das Paridas, floresta semidecidual",Brazil,-12.477800369263,-41.351898193359,505,Seasonally dry Semideciduous Broadleaved Forest,"COUTO, A.P.L.; FUNCH L.S. & CONCEIÇÃO A.A. 2011 Composição florística e fisionomia de floresta estacional semidecídua submontana na Chapada Diamantina, Bahia, Brasil. Rodriguésia 61 (2): 391-405.",
Salacia elliptica (Mart. ex Schult.) G.Don,Salacia elliptica (Mart. ex Schult.) G.Don,TO-SAO BENTO DO TOCANTINS Cerrado sensu stricto CE24,Brazil,-5.7869000434875,-47.957698822021,,,"HAIDAR RF, DIAS R, AND FELFILI JM 2013 Mapeamento das regiões fitoecológicas e inventário florestal do estado do Tocantins. Palmas, TO. Governo do Estado do Tocantins p. 156",
Psidium schenckianum Kiaersk.,Psidium schenckianum Kiaersk.,"Maracás, floresta semidecidual",Brazil,-13.468099594116,-40.289199829102,853,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Trichilia hirta L.,Trichilia hirta L.,"Arcos e Pains, floresta decidual",Brazil,-20.329000473022,-45.580001831055,,,"GONZAGA, A.P.D. 2011 Tese de Doutorado, Universidade de Brasília, Brasília, DF, Brasil. Padrões fitogeográficos de florestas estacionais deciduais na bacia do rio São Francisco: análise floristico-estrutural e suas relações com o ambiente.",
Genipa americana L.,Genipa americana L.,"Itaobim, caatinga arbórea",Brazil,-16.531700134277,-41.562198638916,564,Arid Deciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Campomanesia sessiliflora (O.Berg) Mattos,Campomanesia sessiliflora (O.Berg) Mattos,"Montividiu, caatinga areno-rupícola",Brazil,-15.141400337219,-42.693901062012,1068,Arid Deciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Sorocea guilleminiana Gaudich.,Sorocea guilleminiana Gaudich.,"Bambuí, floresta ripícola",Brazil,-19.980800628662,-46.071701049805,727,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Luehea candicans Mart. & Zucc.,Luehea candicans Mart. & Zucc.,"Vargem Bonita, floresta ripícola",Brazil,-20.348300933838,-46.292499542236,762,Seasonally dry Semideciduous Broadleaved Forest,"SCOLFORO, J.R.S. & CARVALHO, L.M.T. (EDS.) 2007 Editora UFLA, Lavras, MG, Brasil. Mapeamento e inventário da flora nativa e dos reflorestamentos de Minas Gerais.",
