DATASET,DATASET_ACRONYM,RECORD_ID,MUNICIPALITY,STATE,STATE_ACRONYM,COUNTRY,ID_CODLOC,HABITAT,LATITUDE_Y,LONGITUDE_X,PRECISION,REGIONAL_NAME_OF_STUDY_SITE,EPIPHYTE_GROUP,EPIPHYTE_FAMILY,EPIPHYTE_GENUS,EPIPHYTE_EPITHET,EPIPHYTE_SPECIES,EPIPHYTE_HABITAT,FOROPHYTE_FAMILY,FOROPHYTE_GENERA,FOROPHYTE_EPITHET,FOROPYHYTE_SPECIES,YEAR_START,YEAR_FINISH,DATA_TYPE,ALTITUDE,ANNUAL_RAINFALL,ANNUAL_TEMPERATURE,VEGETATION_TYPE,ATLANTIC_FOREST_LIMIT,OBS
GOSI_01477,GOSI,E0215,BOMBINHAS,SANTA CATARINA,SC,Brazil,,Secondary Forest,-27.138,-48.517,Municipality,,Angiosperms,Bromeliaceae,Vriesea,carinata,Vriesea carinata,holoepiphyte,,,,,2014,2017,Presence_only,111,1613,23.8999996185303,Ombrophilous Forest,YES,
PERE_00217,PERE,EEC022,GALIA,SAO PAULO,SP,Brazil,,Forest Edge,-22.30577526,-49.62792303,10,SP-327,Angiosperms,Moraceae,Ficus,citrifolia,Ficus citrifolia,hemiepiphyte,,,,,2007,2011,Presence_only,610,1306,22.7999992370605,Seasonal Forest,YES,"habito terricola; amostragem assistematica em uma area de ~ 100.000 ha entre as coordenadas -49,869 dd -22,513 dd e -49,534 dd -22,249 dd.  habito terricola:sim"
MENE2_15708,MENE2,E23370,JAGUARIAIVA,PARANA,PR,Brazil,,,-24.25,-49.71,Coordinates given in the herbarium record,,Angiosperms,Orchidaceae,Acianthera,saurocephala,Acianthera saurocephala,holoepiphyte,,,,,,,Presence_only,824,1347,22.2000007629395,Savanna,YES,
AAMO_00238,AAMO,E0238,ARATACA,BAHIA,BA,Brazil,2,Dense Ombrophilous Forest,-15.16,-39.33,Study site,Parque Nacional da Serra das Lontras,Angiosperms,Bromeliaceae,Quesnelia,clavata,Quesnelia clavata,holoepiphyte,,,,,2006,2014,Presence_only,150,1323,21.1000003814697,Ombrophilous Forest,YES,
KERB_12164,KERB,E12164,PIRAQUARA,PARANA,PR,Brazil,ABUNDANCE,Mixed Ombrophilous Forest,-25.528984,-49.012214,Forest fragment,Haras Santo Antonio,Ferns,Hymenophyllaceae,Crepidomanes,pyxidiferum,Crepidomanes pyxidiferum,holoepiphyte,Myrtaceae,Calyptranthes,concinna,Calyptranthes concinna,2002,2006,Abundance,1015,1701,20.3999996185303,Ombrophilous Forest,YES,
MENE2_17335,MENE2,E2485,JOAO PESSOA,PARAIBA,PB,Brazil,,,-7.115,-34.8631,Coordinates given in the herbarium record,Mata do Buraquinho.,Angiosperms,Bromeliaceae,Aechmea,sulbahianensis,Aechmea sulbahianensis,holoepiphyte,,,,,,,Presence_only,7,1936,26.2999992370605,Other,YES,
JABOT_03347,JABOT,518501,NITEROI,RIO DE JANEIRO,RJ,Brazil,,,-22.88,-43.1,Municipality,,Angiosperms,Bromeliaceae,Tillandsia,stricta,Tillandsia stricta,facultative,,,,,1998,1998,Presence_only,15,1228,26.2999992370605,Ombrophilous Forest,YES,
SARA_00092,SARA,E0092,CAMACAN,BAHIA,BA,Brazil,23,Dense Ombrophilous Forest,-15.391667,-39.565278,Study site,RPPN Serra Bonita,Ferns,Aspleniaceae,Asplenium,scandicinum,Asplenium scandicinum,holoepiphyte,,,,,2010,2010,Abundance,152,1105,22.2000007629395,Ombrophilous Forest,YES,
MENE2_00573,MENE2,E0573,ARAQUARI,SANTA CATARINA,SC,Brazil,,,-26.37,-48.7222,Coordinates given in the herbarium record,,Angiosperms,Bromeliaceae,Aechmea,candida,Aechmea candida,holoepiphyte,,,,,,,Presence_only,3,1743,25.1000003814697,,YES,
KERB_06147,KERB,E6147,CAMPINA GRANDE DO SUL,PARANA,PR,Brazil,ABUNDANCE,,-25.240888,-48.830907,Forest fragment,Morro Caratuva,Ferns,Hymenophyllaceae,Hymenophyllum,polyanthos,Hymenophyllum polyanthos,holoepiphyte,Aquifoliaceae,Ilex,microdonta,Ilex microdonta,2009,2011,Abundance,1714,1907,16.7999992370605,Ombrophilous Forest,YES,
MENE2_05294,MENE2,E13903,NATIVIDADE DA SERRA,SAO PAULO,SP,Brazil,,,-23.4132,-45.3706,Coordinates given in the herbarium record,P.E.Serra do Mar,Angiosperms,Gesneriaceae,Nematanthus,fluminensis,Nematanthus fluminensis,holoepiphyte,,,,,,,Presence_only,913,1635,20,Ombrophilous Forest,YES,
NUNE_02462,NUNE,AD639,CACHOEIRAS DE MACACU,RIO DE JANEIRO,RJ,Brazil,C200P7A4,Secondary Forest,-22.40805556,-42.7375,5,Reserva Ecologica de Guapiacu -inicio Trilha Verde/cinza-,Ferns,Polypodiaceae,Microgramma,squamulosa,Microgramma squamulosa,holoepiphyte,,,,,2012,2016,Presence_only,226,1518,24.5,Ombrophilous Forest,YES,507
ANNE_02796,ANNE,32107,SANTO AMARO DA IMPERATRIZ,SANTA CATARINA,SC,Brazil,,Dense Ombrophilous Forest,-27.8,-48.7667,Municipality,Rio da Nova Descoberta,Ferns,Polypodiaceae,Leucotrichum,organense,Leucotrichum organense,holoepiphyte,,,,,2010,2010,Presence_only,948,1676,20.6000003814697,Ombrophilous Forest,YES,
