scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world
Archilejeunea fuscescens,Lejeuneaceae,Archilejeunea fuscescens (Hampe ex Lehm.) Fulford,Lejeuneaceae,Archilejeunea fuscescens,(Hampe ex Lehm.) Fulford,bryophytes,Accepted,Lejeuneaceae,(Hampe ex Lehm.) Fulford,-16.366667,-39.141111,1999-09-10,GBIF,Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),ALCB,2879,1
Erythroxylum stipulosum,Erythroxylaceae,Erythroxylum stipulosum Plowman,Erythroxylaceae,Erythroxylum stipulosum,Plowman,flowering plants,Accepted,Erythroxylaceae,Plowman,-7.333333,-39.583333,1983-01-18,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Anchietea pyrifolia,Violaceae,Anchietea pyrifolia var. pyrifolia,Violaceae,Anchietea pyrifolia,(Mart.) G. Don,flowering plants,Accepted,Violaceae,(Mart.) G. Don,-22.538889,-43.150556,2002-08-22,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Macrocnemum roseum,Rubiaceae,Macrocnemum roseum (Ruiz & Pav.) Wedd.,Rubiaceae,Macrocnemum roseum,(Ruiz & Pav.) Wedd.,flowering plants,Accepted,Rubiaceae,(Ruiz & Pav.) Wedd.,-8.36666,-71.73333,1998-09-19,MO,MO,MO,MO,,280,1
Declieuxia fruticosa,Rubiaceae,Declieuxia fruticosa (Willd. ex Roem. & Schult.) Kuntze,Rubiaceae,Declieuxia fruticosa,(Willd. ex Roem. & Schult.) Kuntze,flowering plants,Accepted,Rubiaceae,(Willd. ex Roem. & Schult.) Kuntze,-22.75,-48.416667,1974-10-24,GBIF,UnB,UnB,UnB,UB,3120,1
Melanoxylon brauna,Caesalpiniaceae,Melanoxylon brauna Schott,Fabaceae,Melanoxylon brauna,Schott,flowering plants,Accepted,Fabaceae,Schott,-19.92083,-43.93778,1941-07-14,NY,NY,NY,NY,Herbarium,104,1
Licania heteromorpha,Chrysobalanaceae,Chrysobalanaceae Licania heteromorpha,Chrysobalanaceae,Licania heteromorpha,Benth.,flowering plants,Accepted,Chrysobalanaceae,Benth.,-2.6185037,-60.2098673,2008-09-17,TEAM,Manaus,Eduardo Eler,,,42,1
Mandevilla hirsuta,Apocynaceae,Mandevilla hirsuta (Rich.) K.Schum.,Apocynaceae,Mandevilla hirsuta,(Rich.) K. Schum.,flowering plants,Accepted,Apocynaceae,(Rich.) K. Schum.,-14.73,-52.33,1967-07-28,GBIF,K,K,K,Herbarium,3716,1
Anemia tomentosa,Anemiaceae,Anemia tomentosa var. tomentosa,Anemiaceae,Anemia tomentosa var. tomentosa,,ferns and allies,Accepted,Anemiaceae,,-10.388333,-37.381111,1986-08-01,GBIF,"Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS",ASE,3114,1
Calea fruticosa,Asteraceae,Amphicalea fruticosa Gardn.,Asteraceae,Amphicalea fruticosa,Gardner,flowering plants,Accepted,Asteraceae,"(Gardner) Urbatsch, Zlotsky & Pruski",-19.690239,-44.096503,1840-06-01,GBIF,NHMUK,NHMUK,NHMUK,BOT,2075,1
