database_id,verbatim_scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country_suggested,countryCode,original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName,year
GBIF_16,"Chresta pacourinoides (Mart. ex DC.) Loeuille, Siniscalchi & Pirani",-5.640583,-42.608306,1090954960,2000-05-16T00:00:00Z,Brazil,Piauí,NA,Fazenda Saquinho,NA,PRESERVED_SPECIMEN,B. Leonille,NA,R. Barros; R.R. Farias,Brazil,BR,Chresta pacourinoides,NA,NA,accepted,GBIF:8282348,Chresta pacourinoides,species,accepted,GBIF:8282348,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chresta,pacourinoides,NA,3142054,3145360,"Loeuille, Siniscalchi & Pirani (Mart. ex DC.)",NA,2000
ICMBIO_1,Chamaecrista incana (Vogel) H.S.Irwin & Barneby,-25.3830556,-51.5111111,RB01034852,10/12/2013,Brasil,Paraná,Guarapuava,"Rodovia BR-277, Campo em frente a concessionária Valtra-Shark.",NA,NA,NA,NA,NA,Brazil,BR,Chamaecrista incana,NA,NA,accepted,GBIF:2949514,Chamaecrista incana,species,accepted,GBIF:2949514,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,incana,NA,2949492,5351173,H.S.Irwin & Barneby (Vogel),NA,2013
ICMBIO_2,Tridax procumbens L.,-12.2630556,-38.0416666,RB01357838,09/03/2016,Brasil,Bahia,Itanagra,Conglomerado BA__E-1-1-HE,NA,NA,NA,NA,NA,Brazil,BR,Tridax procumbens,NA,NA,accepted,GBIF:3149462,Tridax procumbens,species,accepted,GBIF:3149462,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tridax,procumbens,NA,3149429,NA,L.,Yerba de San Juan del monte,2016
ICMBIO_3,Peperomia tetraphylla (G.Forst.) Hook. & Arn.,-20.9386111,-41.5444444,RB00821048,08/08/2013,Brasil,Espírito Santo,Mimoso do Sul,"Córrego do Jardim. Floresta de Pseudobombax, Nyctaginaceae, bromélias e aráceas, com tapete de musgos, sobre afloramento rochoso.",NA,NA,NA,NA,NA,Brazil,BR,Peperomia tetraphylla,NA,NA,accepted,GBIF:3086448,Peperomia tetraphylla,species,accepted,GBIF:3086448,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,tetraphylla,NA,3086367,3086450,Hook. & Arn. (G.Forst.),dou ban lu,2013
ICMBIO_7,Byrsonima crispa,-16.504,-39.255,604662,14/10/2009,Brasil,BA,NA,Parque Nacional Do Pau Brasil,NA,NA,NA,NA,NA,Brazil,BR,Byrsonima crispa,NA,NA,accepted,GBIF:3986307,Byrsonima crispa,species,accepted,GBIF:3986307,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Byrsonima,crispa,NA,3191347,NA,A.Juss.,murici,2009
ICMBIO_8,Paspalum multicaule Poir.,-12.9,-51.8666667,RB00525311,26/06/1968,Brasil,Mato Grosso,NA,"Base Camp of the Expedition, ca. 270 km N of Xavantina on the Xavantina - São Félix road.",NA,NA,NA,NA,NA,Brazil,BR,Paspalum multicaule,NA,NA,accepted,GBIF:4106884,Paspalum multicaule,species,accepted,GBIF:4106884,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Paspalum,multicaule,NA,2705540,NA,Poir.,NA,1968
ICMBIO_9,Solanum megalochiton Mart.,-19.3513889,-40.5480555,RB00780705,19/04/2013,Brasil,Espírito Santo,Marilândia,"Localidade de Alto Liberdade. Pedra do Cruzeiro, Floresta alterada ao longo da escadaria para o topo do inselbergue.",NA,NA,NA,NA,NA,Brazil,BR,Solanum megalochiton,NA,NA,accepted,GBIF:2932021,Solanum megalochiton,species,accepted,GBIF:2932021,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,megalochiton,NA,2928997,NA,Mart.,NA,2013
ICMBIO_10,Leiothrix curvifolia (Bong.) Ruhland,-18.9625,-43.7419444,RB00604869,24/11/2009,Brasil,Minas Gerais,Santana de Pirapama,"Serra do Cipó, Capela de São José, Trilha da Senhorinha, caminho a Congonhas do Norte.",NA,NA,NA,NA,NA,Brazil,BR,Leiothrix curvifolia,NA,NA,accepted,GBIF:5286550,Leiothrix curvifolia,species,accepted,GBIF:5286550,Plantae,Tracheophyta,Liliopsida,Poales,Eriocaulaceae,Leiothrix,curvifolia,NA,2691180,2691250,Ruhland (Bong.),NA,2009
ICMBIO_11,Chrysophyllum inornatum Mart.,-27.3344444,-49.9422222,RB01138574,10/11/2008,Brasil,Santa Catarina,Pouso Redondo,Corruchel.,NA,NA,NA,NA,NA,Brazil,BR,Chrysophyllum inornatum,NA,NA,accepted,GBIF:2885737,Chrysophyllum inornatum,species,accepted,GBIF:2885737,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Chrysophyllum,inornatum,NA,2885576,NA,Mart.,murta,2008
ICMBIO_12,Mimosa paludosa Benth.,-13.6,-41.8333333,RB00164077,27/03/1977,Brasil,Bahia,NA,"Between 2,5 and 5km S. of the Vila do Rio de Contas on side road to W. of the road to livramento, leading to the Rio Brumado.",NA,NA,NA,NA,NA,Brazil,BR,Mimosa paludosa,NA,NA,accepted,GBIF:2969575,Mimosa paludosa,species,accepted,GBIF:2969575,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,paludosa,NA,2969235,NA,Benth.,NA,1977
ICMBIO_14,Myrsine umbellata,-22.456917,-44.609611,909060,25/11/2014,Brasil,RJ,NA,Parque Nacional De Itatiaia,NA,NA,NA,NA,NA,Brazil,BR,Myrsine umbellata,NA,NA,accepted,GBIF:7422518,Myrsine umbellata,species,accepted,GBIF:7422518,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Myrsine,umbellata,NA,3169412,NA,Mart.,NA,2014
ICMBIO_15,Swartzia simplex var. continentalis Urb.,-20.2425,-42.0197223,RB00521071,10/12/2007,Brasil,Espírito Santo,Santa Leopoldina,"Cachoeira do Mochafongo, Sítio Mochafongo. Arbusto 5m, tronco castanho-escuro, beira da cachoeira, solo rochoso, local com alta incidência de sol.",NA,NA,NA,NA,NA,Brazil,BR,Swartzia simplex continentalis,NA,NA,accepted | replaceSynonym,GBIF:5352053,Swartzia simplex,species,accepted,GBIF:5352047,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Swartzia,simplex,NA,2950920,2951203,Spreng. (Sw.),NA,2007
ICMBIO_16,Tephrosia,-9.8497222,-52.4047222,RB00622100,11/03/2011,Brasil,Mato Grosso,São José do Xingu,"Fazenda Santa Filipina, a 20-40 km da Faz. Najá, zona de amortecimento do Parque Estadual do Xingu.",NA,NA,NA,NA,NA,Brazil,BR,Tephrosia,NA,NA,accepted,GBIF:2933053,Tephrosia,genus,accepted,GBIF:2933053,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Tephrosia,NA,NA,5386,NA,Pers.,hoarypea,2011
ICMBIO_18,Marcetia latifolia Naudin,-11.6333333,-41.0333333,RB00238744,30/05/1980,Brasil,Piauí,Morro do Chapéu do Piauí,"Rio do Ferro Doido, 19,5 km S.E. of Morro do Chapéu on the BA 052 highway to Mundo Novo, with water-worn.",NA,NA,NA,NA,NA,Brazil,BR,Marcetia latifolia,NA,NA,accepted,GBIF:5601599,Marcetia latifolia,species,accepted,GBIF:5601599,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Marcetia,latifolia,NA,3231533,NA,Naudin,NA,1980
ICMBIO_19,Clusia nemorosa G.Mey.,-8.28,-34.9541667,RB00574427,24/08/2007,Brasil,Pernambuco,Cabo de Santo Agostinho,"Itapuama, engenho Camaçari.",NA,NA,NA,NA,NA,Brazil,BR,Clusia nemorosa,NA,NA,accepted,GBIF:7330253,Clusia nemorosa,species,accepted,GBIF:7330253,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Clusia,nemorosa,NA,3189424,NA,G.Mey.,orelha de burro,2007
ICMBIO_20,Bertholletia excelsa,-10.855507,-68.700395,458788,31/03/2013,Brasil,AC,NA,Reserva Extrativista Chico Mendes,NA,NA,NA,NA,NA,Brazil,BR,Bertholletia excelsa,NA,NA,accepted,GBIF:3083180,Bertholletia excelsa,species,accepted,GBIF:3083180,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae,Bertholletia,excelsa,NA,3083179,NA,Bonpl.,Turury,2013
IDIGBIO_15,Ocotea laxa (Nees) Mez,-25.4769,-48.8342,775655fa-be84-4db2-b9f1-ab1b93afed07,1971-01-19,Brazil,Paraná,Morretes,"Serra Marumbi, picada ao Olimpo",NA,PreservedSpecimen,NA,30514,G. G. Hatschbach,Brazil,BR,Ocotea laxa,NA,NA,accepted,GBIF:4179789,Ocotea laxa,species,accepted,GBIF:4179789,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Ocotea,laxa,NA,3034076,4180505,Mez (Nees),NA,1971
IDIGBIO_19,Clidemia epiphytica (Triana) Cogn.,-4.696879,-69.5048332,d41300b6-eb71-4a99-bdfe-717c093616b1,1936-09-11/1936-10-26,Brazil,Amazonas,São Paulo de Olivença,Near Palmares. Basin of Rio Solimoes.,NA,PreservedSpecimen,F. A. Michelangeli,201650,B. A. Krukoff,Brazil,BR,Clidemia epiphytica,NA,NA,homotypic synonym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1936
SIBBR_10,Plantae,-23.213774,-46.361428,ad73d33b-4f47-445a-bc84-bcc8397552d6,2013,Brazil,NA,NA,NA,NA,HumanObservation,NA,NA,NA,Brazil,BR,Plantae,NA,NA,accepted,GBIF:6,Plantae,kingdom,accepted,GBIF:6,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,植物界,2013
SIBBR_12,Matayba elaeagnoides,-24.10056,-50.70694,587d1247-b4e8-4a13-b121-6717f7f86273,2011,Brazil,NA,NA,H|_x0005_,NA,PreservedSpecimen,"Bonaldi, R.A.",NA,NA,Brazil,BR,Matayba elaeagnoides,NA,NA,accepted,GBIF:3784375,Matayba elaeagnoides,species,accepted,GBIF:3784375,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Matayba,elaeagnoides,NA,3190011,NA,Radlk.,pau de pombo,2011
