database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country_suggested,countryCode
ICMBIO_4,Oxalis psoraleoides ssp. insipida (A.St.-Hil.) Lourteig,-9.6783334,-36.9844444,RB00534750,14/11/2000,Brasil,Alagoas,Jaramataia,"Serra das Mãos, próximo à Vila Campestre e ao riacho Ribeira.",NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_5,Xyris mucujensis Kral & L.B.Sm.,-13,-41.4,RB00636898,25/07/1979,Brasil,Bahia,Mucugê,"3km ao S de Mucugê, na estrada para Jussiape.",NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_6,Groenbladia,-15.733889,-47.928611,43135,31/05/2009,Brasil,DF,Brasilia,Parque Nacional De Brasília,NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_7,Byrsonima crispa,-16.504,-39.255,604662,14/10/2009,Brasil,BA,NA,Parque Nacional Do Pau Brasil,NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_8,Paspalum multicaule Poir.,-12.9,-51.8666667,RB00525311,26/06/1968,Brasil,Mato Grosso,NA,"Base Camp of the Expedition, ca. 270 km N of Xavantina on the Xavantina - São Félix road.",NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_9,Solanum megalochiton Mart.,-19.3513889,-40.5480555,RB00780705,19/04/2013,Brasil,Espírito Santo,Marilândia,"Localidade de Alto Liberdade. Pedra do Cruzeiro, Floresta alterada ao longo da escadaria para o topo do inselbergue.",NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_10,Leiothrix curvifolia (Bong.) Ruhland,-18.9625,-43.7419444,RB00604869,24/11/2009,Brasil,Minas Gerais,Santana de Pirapama,"Serra do Cipó, Capela de São José, Trilha da Senhorinha, caminho a Congonhas do Norte.",NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_11,Chrysophyllum inornatum Mart.,-27.3344444,-49.9422222,RB01138574,10/11/2008,Brasil,Santa Catarina,Pouso Redondo,Corruchel.,NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_12,Mimosa paludosa Benth.,-13.6,-41.8333333,RB00164077,27/03/1977,Brasil,Bahia,NA,"Between 2,5 and 5km S. of the Vila do Rio de Contas on side road to W. of the road to livramento, leading to the Rio Brumado.",NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_14,Myrsine umbellata,-22.456917,-44.609611,909060,25/11/2014,Brasil,RJ,NA,Parque Nacional De Itatiaia,NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_15,Swartzia simplex var. continentalis Urb.,-20.2425,-42.0197223,RB00521071,10/12/2007,Brasil,Espírito Santo,Santa Leopoldina,"Cachoeira do Mochafongo, Sítio Mochafongo. Arbusto 5m, tronco castanho-escuro, beira da cachoeira, solo rochoso, local com alta incidência de sol.",NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_16,Tephrosia,-9.8497222,-52.4047222,RB00622100,11/03/2011,Brasil,Mato Grosso,São José do Xingu,"Fazenda Santa Filipina, a 20-40 km da Faz. Najá, zona de amortecimento do Parque Estadual do Xingu.",NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_18,Marcetia latifolia Naudin,-11.6333333,-41.0333333,RB00238744,30/05/1980,Brasil,Piauí,Morro do Chapéu do Piauí,"Rio do Ferro Doido, 19,5 km S.E. of Morro do Chapéu on the BA 052 highway to Mundo Novo, with water-worn.",NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_19,Clusia nemorosa G.Mey.,-8.28,-34.9541667,RB00574427,24/08/2007,Brasil,Pernambuco,Cabo de Santo Agostinho,"Itapuama, engenho Camaçari.",NA,NA,NA,NA,NA,Brazil,BR
ICMBIO_20,Bertholletia excelsa,-10.855507,-68.700395,458788,31/03/2013,Brasil,AC,NA,Reserva Extrativista Chico Mendes,NA,NA,NA,NA,NA,Brazil,BR
