original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
Chaetocalyx scandens,NA,NA,accepted | replaceSynonym,GBIF:2944990,Nissolia vincentina,species,accepted,GBIF:10745779,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Nissolia,vincentina,NA,5358617,5349349,T.M.Moura & Fort.-Perez (Ker Gawl.),NA
Miconia fallax,NA,NA,accepted,GBIF:3866448,Miconia fallax,species,accepted,GBIF:3866448,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,fallax,NA,3188558,NA,DC.,NA
Lejeunea flava,NA,NA,accepted,GBIF:2688906,Lejeunea flava,species,accepted,GBIF:2688906,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Lejeunea,flava,NA,2688902,NA,Nees (Sw.),Yellow Pouncewort
Psyllocarpus laricoides,NA,NA,accepted,GBIF:2907975,Psyllocarpus laricoides,species,accepted,GBIF:2907975,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Psyllocarpus,laricoides,NA,7716389,NA,Mart. & Zucc.,NA
Mouriri apiranga,NA,NA,accepted,GBIF:4935945,Mouriri apiranga,species,accepted,GBIF:4935945,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Mouriri,apiranga,NA,3188623,NA,Spruce ex Triana,uapiranga
Pleopeltis hirsutissima,NA,NA,accepted,GBIF:4029985,Pleopeltis hirsutissima,species,accepted,GBIF:4029985,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Pleopeltis,hirsutissima,NA,2650485,7290359,de la Sota (Raddi),NA
Andropogon fastigiatus,NA,NA,homotypic synonym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis acutangula,NA,NA,accepted,GBIF:2716800,Eleocharis acutangula,species,accepted,GBIF:2716800,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Eleocharis,acutangula,NA,2716791,2716811,Schult. (Roxb.),junquillo
Myrcia guianensis,NA,NA,accepted,GBIF:3174923,Myrcia guianensis,species,accepted,GBIF:3174923,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Myrcia,guianensis,NA,3173889,5415699,DC. (Aubl.),Poivrier Jamaique
Castelnavia noveloi,NA,NA,accepted,GBIF:4072435,Castelnavia noveloi,species,accepted,GBIF:4072435,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Podostemaceae,Castelnavia,noveloi,NA,7296013,NA,C.T.Philbrick & C.P.Bove,NA
Eleocharis nudipes,NA,NA,accepted,GBIF:2717758,Eleocharis nudipes,species,accepted,GBIF:2717758,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Eleocharis,nudipes,NA,2716791,2717759,Palla (Kunth),NA
Tabernaemontana catharinensis,NA,NA,accepted,GBIF:3618496,Tabernaemontana catharinensis,species,accepted,GBIF:3618496,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Tabernaemontana,catharinensis,NA,3169624,NA,A.DC.,pinwheel jessamine
Turnera scabra,NA,NA,accepted,GBIF:2874853,Turnera scabra,species,accepted,GBIF:2874853,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Turneraceae,Turnera,scabra,NA,2874846,NA,Millsp.,rough yellow alder
Solanum cassioides,NA,NA,accepted,GBIF:2931031,Solanum cassioides,species,accepted,GBIF:2931031,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,cassioides,NA,2928997,NA,L.B.Sm. & Downs,NA
Drosera graminifolia,NA,NA,accepted,GBIF:3190882,Drosera graminifolia,species,accepted,GBIF:3190882,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Droseraceae,Drosera,graminifolia,NA,3190721,NA,St.Hil.,NA
Metzgeria myriopoda,NA,NA,accepted,GBIF:5710244,Metzgeria myriopoda,species,accepted,GBIF:5710244,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Metzgeriaceae,Metzgeria,myriopoda,NA,2689517,NA,Lindb.,NA
Senna splendida,NA,NA,accepted,GBIF:2957478,Senna splendida,species,accepted,GBIF:2957478,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,splendida,NA,2956904,NA,H.S.Irwin & Barneby (Vogel),NA
Wahlenbergia perrottetii,NA,NA,accepted,GBIF:5413994,Wahlenbergia perrottetii,species,accepted,GBIF:5413994,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Wahlenbergia,perrottetii,NA,3167091,3167935,Thulin (A.DC.),NA
Cordia exaltata,NA,NA,accepted,GBIF:7295492,Cordia exaltata,species,accepted,GBIF:7295492,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Cordiaceae,Cordia,exaltata,NA,2900865,NA,Lam.,grao de galo
Chiococca alba,NA,NA,accepted,GBIF:2907406,Chiococca alba,species,accepted,GBIF:2907406,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Chiococca,alba,NA,2907380,5338553,Hitchc. (L.),West Indian snowberry
Moritzia dusenii,NA,NA,accepted,GBIF:5661652,Moritzia dusenii,species,accepted,GBIF:5661652,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Moritzia,dusenii,NA,3230798,NA,I.M.Johnst.,borragem miuda de dusen
Chrysophyllum splendens,NA,NA,accepted,GBIF:2885909,Chrysophyllum splendens,species,accepted,GBIF:2885909,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Chrysophyllum,splendens,NA,2885576,NA,Spreng.,lingua de vaca
Lygodium volubile,NA,NA,accepted,GBIF:2650434,Lygodium volubile,species,accepted,GBIF:2650434,Plantae,Tracheophyta,Polypodiopsida,Schizaeales,Lygodiaceae,Lygodium,volubile,NA,2650431,NA,Sw.,abre caminho
Vachellia farnesiana,NA,NA,accepted,GBIF:2979265,Vachellia farnesiana,species,accepted,GBIF:2979265,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,farnesiana,NA,8142432,2979264,Wight & Arn. (L.),sweet wattle
Palicourea fulgens,NA,NA,accepted,GBIF:2898799,Palicourea fulgens,species,accepted,GBIF:2898799,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Palicourea,fulgens,NA,2898662,2898801,Standl. (Müll.Arg.),NA
Cordia nodosa,NA,NA,accepted,GBIF:7295069,Cordia nodosa,species,accepted,GBIF:7295069,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Cordiaceae,Cordia,nodosa,NA,2900865,NA,Lam.,pau de formiga
Piper amplum,NA,NA,accepted,GBIF:8260336,Piper amplum,species,accepted,GBIF:8260336,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,amplum,NA,3075433,NA,Kunth,NA
Cyathula prostrata,NA,NA,accepted,GBIF:5384314,Cyathula prostrata,species,accepted,GBIF:5384314,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Cyathula,prostrata,NA,5384313,3084918,Blume (L.),tsolokoto
Peperomia alata,NA,NA,accepted,GBIF:3086498,Peperomia alata,species,accepted,GBIF:3086498,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,alata,NA,3086367,NA,Ruiz & Pav.,Winged peperomia
