database_id,verbatim_scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country_suggested,countryCode,.uncer_terms,original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName,.rou,.val,.equ,.zer,.cap,.cen,.urb,.otl,.gbf,.inst,.dpl,.eventDate_empty,year,.year_outOfRange,.summary
BIEN_2,Tetrapterys crispa,-0.95,-49.8,1758,1987-11-04,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,TRUE,Tetrapterys crispa,NA,NA,accepted,GBIF:7285570,Tetrapterys crispa,species,accepted,GBIF:7285570,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Tetrapterys,crispa,NA,3191303,NA,A.Juss.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1987,TRUE,TRUE
BIEN_3,Clusia microstemon,0.283333,-68.466667,2075,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,TRUE,Clusia microstemon,NA,NA,accepted,GBIF:5556257,Clusia microstemon,species,accepted,GBIF:5556257,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Clusia,microstemon,NA,3189424,NA,Planch. & Triana,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
BIEN_5,Machaerium fulvovenosum,-20.848889,-41.1125,1307,2008-10-10,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,TRUE,Machaerium fulvovenosum,NA,NA,accepted,GBIF:5355056,Machaerium fulvovenosum,species,accepted,GBIF:5355056,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Machaerium,fulvovenosum,NA,2959589,NA,H.C.Lima,jacaranda tan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2008,TRUE,TRUE
BIEN_7,Byrsonima sericea,-15.181944,-45.769722,3012,1997-12-05,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,TRUE,Byrsonima sericea,NA,NA,accepted,GBIF:7285418,Byrsonima sericea,species,accepted,GBIF:7285418,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Byrsonima,sericea,NA,3191347,NA,DC.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1997,TRUE,TRUE
BIEN_9,Cordia nodosa,-9.95,-57.1,2979,1985-09-30,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,TRUE,Cordia nodosa,NA,NA,accepted,GBIF:7295069,Cordia nodosa,species,accepted,GBIF:7295069,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Cordiaceae,Cordia,nodosa,NA,2900865,NA,Lam.,pau de formiga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1985,TRUE,TRUE
BIEN_10,Dorstenia turnerifolia,-15.158056,-39.528611,2724,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,TRUE,Dorstenia turnerifolia,NA,NA,accepted,GBIF:3762794,Dorstenia turnerifolia,species,accepted,GBIF:3762794,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Dorstenia,turnerifolia,NA,2984540,NA,Fisch. & C.A.Mey.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
BIEN_11,Phoradendron crassifolium,-23.62028,-45.40972,104,1961-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Phoradendron crassifolium,NA,NA,accepted,GBIF:7772421,Phoradendron crassifolium,species,accepted,GBIF:7772421,Plantae,Tracheophyta,Magnoliopsida,Santalales,Viscaceae,Phoradendron,crassifolium,NA,2889864,4068428,Eichler (Pohl ex DC.),NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1961,TRUE,TRUE
BIEN_12,Pagamea plicata,-10.605278,-46.285,3801,2007-09-21,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,TRUE,Pagamea plicata,NA,NA,accepted,GBIF:2902164,Pagamea plicata,species,accepted,GBIF:2902164,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Pagamea,plicata,NA,2902141,NA,Spruce ex Benth.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2007,TRUE,TRUE
BIEN_14,Galactia striata,-22.4947,-48.5581,1365,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,TRUE,Galactia striata,NA,NA,accepted,GBIF:2984047,Galactia striata,species,accepted,GBIF:2984047,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Galactia,striata,NA,2983979,5361742,Urb. (Jacq.),Guatabito,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
BIEN_15,Achyrocline alata,-20.448028,-52.906222,2258,2005-04-22,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,TRUE,Achyrocline alata,NA,NA,accepted,GBIF:3139547,Achyrocline alata,species,accepted,GBIF:3139547,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achyrocline,alata,NA,3139525,NA,DC. (Kunth),macela do brejo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2005,TRUE,TRUE
BIEN_16,Coccocypselum lanceolatum,-10.8339,-52.8731,3567,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,BR,TRUE,Coccocypselum lanceolatum,NA,NA,accepted,GBIF:2906930,Coccocypselum lanceolatum,species,accepted,GBIF:2906930,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coccocypselum,lanceolatum,NA,2906871,5338306,Pers. (Ruiz & Pav.),piririca,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
