sort,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName,input,notes,original.search,distance
11780,GBIF:2654612,Mesophyllum,genus,accepted,GBIF:2654612,Plantae,Rhodophyta,Florideophyceae,Corallinales,Hapalidiaceae,Mesophyllum,,,4376199,,"Me.Lemoine, 1928",エダウチイシモ,Mesophyllum,|check +1 accepted,Mesophyllum,0
12181,GBIF:9199532,Pityrogramma calomelanos calomelanos,form,accepted,GBIF:9199532,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Pityrogramma,calomelanos,calomelanos,2651790,,,,Pityrogramma calomelanos calomelanos,|check +1 accepted,Pityrogramma calomelanos calomelanos,0
12261,GBIF:2673509,Dicranella,genus,accepted,GBIF:2673509,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranella,,,4635,,Schimp. (Müll.Hal.),pluisjesmos,Dicranella,|check +1 accepted,Dicranella,0
12355,GBIF:7293580,Polygala harleyi harleyi,variety,accepted,GBIF:7293580,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,harleyi,harleyi,7293579,,,,Polygala harleyi harleyi,|check +1 accepted,Polygala harleyi harleyi,0
12494,GBIF:2688754,Radula,genus,accepted,GBIF:2688754,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Radulaceae,Radula,,,2266,,Dumort.,schijfjesmos,Radula,|check +1 accepted,Radula,0
12511,GBIF:8073766,Janusia,genus,accepted,GBIF:8073766,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Janusia,,,6676,,A.Juss.,,Janusia,|check +1 accepted,Janusia,0
12647,GBIF:7323226,Alternanthera brasiliana brasiliana,variety,accepted,GBIF:7323226,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,brasiliana,brasiliana,3084934,,,,Alternanthera brasiliana brasiliana,|check +1 accepted,Alternanthera brasiliana brasiliana,0
12647,GBIF:7473389,Alternanthera brasiliana brasiliana,form,accepted,GBIF:7473389,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,brasiliana,brasiliana,3084934,,,,Alternanthera brasiliana brasiliana,|check +1 accepted,Alternanthera brasiliana brasiliana,0
12746,GBIF:3745448,Hirtella racemosa hispida,variety,accepted,GBIF:3745448,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Chrysobalanaceae,Hirtella,racemosa,hispida,2985122,,Prance,,Hirtella racemosa hispida,|check +1 accepted,Hirtella racemosa hispida,0
12892,GBIF:2933939,Pterodon,genus,accepted,GBIF:2933939,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pterodon,,,5386,,Vogel,,Pterodon,|check +1 accepted,Pterodon,0
12930,GBIF:7225517,Inga nobilis nobilis,variety,accepted,GBIF:7225517,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Inga,nobilis,nobilis,5357519,,,,Inga nobilis nobilis,|check +1 accepted,Inga nobilis nobilis,0
12988,GBIF:9042975,Paepalanthus mollis mollis,subspecies,accepted,GBIF:9042975,Plantae,Tracheophyta,Liliopsida,Poales,Eriocaulaceae,Paepalanthus,mollis,mollis,5287171,,,,Paepalanthus mollis mollis,|check +1 accepted,Paepalanthus mollis mollis,0
13029,GBIF:8863669,Aechmea ramosa ramosa,subspecies,accepted,GBIF:8863669,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,ramosa,ramosa,2697815,,,,Aechmea ramosa ramosa,|check +1 accepted,Aechmea ramosa ramosa,0
13167,GBIF:3155252,Annona,genus,accepted,GBIF:3155252,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,,,9291,,L.,annonor,Annona,|check +1 accepted,Annona,0
13248,GBIF:8232714,Richardia,genus,accepted,GBIF:8232714,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Richardia,,,8798,,L.,Mexican clover,Richardia,|check +1 accepted,Richardia,0
13255,GBIF:2973363,Trifolium,genus,accepted,GBIF:2973363,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,,,5386,,L.,Конюшина,Trifolium,|check +1 accepted,Trifolium,0
13259,GBIF:2882656,Agarista,genus,accepted,GBIF:2882656,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Agarista,,,2505,,D.Don ex G.Don,pipe-stem wood,Agarista,|check +1 accepted,Agarista,0
13316,GBIF:2960738,Plathymenia,genus,accepted,GBIF:2960738,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Plathymenia,,,5386,,Benth.,,Plathymenia,|check +1 accepted,Plathymenia,0
13402,GBIF:2689517,Metzgeria,genus,accepted,GBIF:2689517,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Metzgeriaceae,Metzgeria,,,2274,,Raddi,boomvorkje,Metzgeria,|check +1 accepted,Metzgeria,0
13439,GBIF:7286361,Diplusodon punctatus punctatus,variety,accepted,GBIF:7286361,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Diplusodon,punctatus,punctatus,7286360,,,,Diplusodon punctatus punctatus,|check +1 accepted,Diplusodon punctatus punctatus,0
13479,GBIF:2706043,Heteropogon,genus,accepted,GBIF:2706043,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Heteropogon,,,3073,,Pers.,tanglehead grass,Heteropogon,|check +1 accepted,Heteropogon,0
13503,GBIF:8857110,Mimosa gracilis brevissima,subspecies,accepted,GBIF:8857110,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,gracilis,brevissima,2969402,,Barneby,,Mimosa gracilis brevissima,|check +1 accepted,Mimosa gracilis brevissima,0
13504,GBIF:3233956,Mollia,genus,accepted,GBIF:3233956,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Mollia,,,6685,,Mart.,,Mollia,|check +1 accepted,Mollia,0
13562,GBIF:2637982,Chara,genus,accepted,GBIF:2637982,Plantae,Charophyta,Charophyceae,Charales,Characeae,Chara,,,8782,,"Linnaeus, 1753",sträfsen,Chara,|check +1 accepted,Chara,0
13568,GBIF:8802971,Miconia tristis tristis,variety,accepted,GBIF:8802971,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,tristis,tristis,7601120,,,,Miconia tristis tristis,|check +1 accepted,Miconia tristis tristis,0
13569,GBIF:2943936,Parkia,genus,accepted,GBIF:2943936,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Parkia,,,5386,,R.Br.,,Parkia,|check +1 accepted,Parkia,0
13780,GBIF:9048273,Mimosa aurivillus aurivillus,subspecies,accepted,GBIF:9048273,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,aurivillus,aurivillus,2969820,,,,Mimosa aurivillus aurivillus,|check +1 accepted,Mimosa aurivillus aurivillus,0
13804,GBIF:8723184,Mimosa hirsutissima hirsutissima,subspecies,accepted,GBIF:8723184,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,hirsutissima,hirsutissima,2969510,,,,Mimosa hirsutissima hirsutissima,|check +1 accepted,Mimosa hirsutissima hirsutissima,0
13835,GBIF:8983116,Chamaecrista desvauxii graminea,subspecies,accepted,GBIF:8983116,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,desvauxii,graminea,2949909,,Irwin & Barneby,,Chamaecrista desvauxii graminea,|check +1 accepted,Chamaecrista desvauxii graminea,0
13880,GBIF:7225424,Senna multijuga multijuga,subspecies,accepted,GBIF:7225424,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,multijuga,multijuga,2957158,8266048,,,Senna multijuga multijuga,|check +1 accepted,Senna multijuga multijuga,0
13890,GBIF:7335166,Hirtella racemosa racemosa,variety,accepted,GBIF:7335166,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Chrysobalanaceae,Hirtella,racemosa,racemosa,2985122,,,,Hirtella racemosa racemosa,|check +1 accepted,Hirtella racemosa racemosa,0
13986,GBIF:8132959,Syrrhopodon prolifer prolifer,variety,accepted,GBIF:8132959,Plantae,Bryophyta,Bryopsida,Pottiales,Calymperaceae,Syrrhopodon,prolifer,prolifer,2670298,,,,Syrrhopodon prolifer prolifer,|check +1 accepted,Syrrhopodon prolifer prolifer,0
14001,GBIF:3796297,Mimosa pseudoradula detonsa,variety,accepted,GBIF:3796297,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,pseudoradula,detonsa,7266229,,Barneby,,Mimosa pseudoradula detonsa,|check +1 accepted,Mimosa pseudoradula detonsa,0
14074,GBIF:7320164,Humiria balsamifera balsamifera,form,accepted,GBIF:7320164,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Humiriaceae,Humiria,balsamifera,balsamifera,8196855,,,,Humiria balsamifera balsamifera,|check +1 accepted,Humiria balsamifera balsamifera,0
14095,GBIF:3172168,Linaria,genus,accepted,GBIF:3172168,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Linaria,,,2420,,Mill.,toadflaxes,Linaria,|check +1 accepted,Linaria,0
14116,GBIF:8994495,Trichocline catharinensis discolor,subspecies,accepted,GBIF:8994495,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Trichocline,catharinensis,discolor,3125963,,Cabrera,,Trichocline catharinensis discolor,|check +1 accepted,Trichocline catharinensis discolor,0
14190,GBIF:7230627,Caulerpa racemosa racemosa,form,accepted,GBIF:7230627,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,racemosa,racemosa,2643093,,,,Caulerpa racemosa racemosa,|check +1 accepted,Caulerpa racemosa racemosa,0
