datelastmodified,institutioncode,collectioncode,catalognumber,scientificname,basisofrecord,kingdom,phylum,class,ordem,family,genus,species,subspecies,scientificnameauthor,identifiedby,yearidentified,monthidentified,dayidentified,typestatus,collectornumber,fieldnumber,collector,yearcollected,monthcollected,daycollected,julianday,timeofday,continentocean,country,stateprovince,county,locality,longitude,latitude,longitude_mun,latitude_mun,coordinateprecision,boundingbox,minimumelevation,maximumelevation,minimumdepth,maximumdepth,sex,preparationtype,individualcount,previouscatalognumber,relationshiptype,relatedcatalogitem,notes,barcode
2020-09-02T19:29:16Z,Cenargen,CEN,106399,Mimosa polycarpa,PreservedSpecimen,Plantae,NA,NA,NA,Fabaceae Mimosoideae,Mimosa,polycarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arnildo Pott,NA,NA,NA,NA,NA,NA,Brasil,MS,NA,"Margem direita do rio Salobrinha, Parque Nacional da Serra da Bodoquena.",-56.785,-20.666944,NA,NA,NA,NA,150,150,NA,NA,NA,NA,1,NA,NA,NA,"Arbusto 1- 2m de alt.,abundante. Flor ausente. Floresta decidual pouco densa. Solo litólico com matações de calcário dolomítico. Doação Universidade Federal do Mato Grosso do Sul. Herbário CGMS nº 9852.",NA
2019-09-24T14:10:24Z,EAO,IAN,69964,Rhynchospora graminea,PreservedSpecimen,Plantae,NA,NA,NA,Cyperaceae,Rhynchospora,graminea,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black, GA; Magalhães, M",NA,NA,NA,NA,NA,NA,Brasil,Minas Gerais,NA,Morro do Pillar.,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-27T16:31:02Z,IAP,PACA-AGP,106974,Cuphea calophylla,PreservedSpecimen,Plantae,NA,Magnoliatae,Myrtales,Lythraceae,Cuphea,calophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heurich, R.",NA,NA,NA,NA,NA,NA,Brasil,RS,NA,Unisinos,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coleção Plantas Medicinais - caixa 3,NA
1970-01-01T03:00:00Z,NY,NYBG,407162,Malvastrum dusenii,PreservedSpecimen,Plantae,NA,NA,Malvales,Malvaceae,Malvastrum,dusenii,NA,NA,NA,NA,NA,NA,NA,NA,NA,Illegible collector name,NA,NA,NA,NA,NA,NA,Brazil,Paraná,NA,Serrinha,-49.57,-24.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-01-01T03:00:00Z,NY,NYBG,1281651,Myrcia melanosepala,PreservedSpecimen,Plantae,NA,NA,Myrtales,Myrtaceae,Myrcia,melanosepala,NA,NA,NA,NA,NA,NA,NA,NA,NA,S. A. Mori,NA,NA,NA,NA,NA,NA,Brazil,Bahia,NA,"Estrada que liga Ponta do Mutá (Porto de Campinhos) a Maraú, a 8 km do Porto. Folha SD (14-39b)",-39.0144,-14.1033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-05T13:19:00Z,UFRB,HURB,25577,Ludwigia hyssopifolia,PreservedSpecimen,Plantae,NA,NA,NA,Onagraceae,Ludwigia,hyssopifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sousa, N.X.M.; Sousa, J.C.",NA,NA,NA,NA,NA,NA,Brasil,Bahia,NA,Rodovia Jacareci/Condeúbas; Nas margens ao lado da ponte do Rio Gavião,-42.007222,-14.881389,NA,NA,NA,NA,631,631,NA,NA,NA,NA,NA,NA,NA,NA,"erva, ca. 50cm, flor amarela, fruto verde",NA
2020-04-15T13:09:58Z,CPAN-UFMS,COR,11405,Sebastiania,PreservedSpecimen,Plantae,NA,NA,NA,Euphorbiaceae,Sebastiania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Damasceno-Júnior, G. A.; Nakajima, J.; Resende, U. & equipe projeto Aquarap",NA,NA,NA,NA,NA,NA,Brasil,Mato Grosso do Sul,NA,Rio da Prata,-56.429167,-21.435833,NA,NA,NA,NA,271,271,NA,NA,NA,NA,NA,NA,NA,NA,Arvoreta Habito: Arvoreta,NA
2020-02-18T12:36:27Z,UNICAMP,UEC,108478,Solanum argenteum,S,Plantae,NA,NA,NA,Solanaceae,Solanum,argenteum,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grombone-Guaratini, MT; Galvão, JC; Belinello, R",NA,NA,NA,NA,NA,NA,Brazil,São Paulo,NA,Reserva Municipal de Santa Genebra.,-47.109167,-22.829167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arvoreta com cerca de 3 m de altura; face adaxial da folha de coloração prateada; flores e botões brancos.,NA
2020-09-12T08:00:02Z,US,US,2222442,Emilia sonchifolia,PreservedSpecimen,Plantae,NA,Dicotyledonae,Asterales,Asteraceae,Emilia,sonchifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,J. M. Pires & G. A. Black,NA,NA,NA,NA,NA,NA,Brazil,Pará,NA,"Amazonia, Belém",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2019-10-11T12:46:34Z,UFC,EAC,50818,Pecluma,PreservedSpecimen,Plantae,NA,NA,NA,Polypodiaceae,Pecluma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lima-Verde, L.W.",NA,NA,NA,NA,NA,NA,Brasil,Ceará,NA,"Baturité-Pacoti, sítio São Miguel (mata explêndida",-38.909306,-4.268472,NA,NA,NA,NA,530,530,NA,NA,NA,NA,NA,NA,NA,NA,Erva.; Mata ombrófila,NA
