Accepted name,Name as entered,locality/site,Country,Latitude,Longitude,Altitude (m),Vegetation type,Reference,Specimen details
Muellera nudiflora (Burkart) M.J.Silva & A.M.G.Azevedo,Muellera nudiflora (Burkart) M.J.Silva & A.M.G.Azevedo,"Dois Irmãos do Buriti, cerradão distrófico",Brazil,-20.161100387573,-56.142799377441,147,Seasonally dry Semideciduous Forested Savanna,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Heisteria silvianii Schwacke,Heisteria silvianii Schwacke,"São Sebastião da Bela Vista, floresta semidecidual",Brazil,-22.107500076294,-45.799198150635,819,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Ficus americana Aubl.,Ficus americana Aubl.,"Sapezal, cerrado",Brazil,-15.352499961853,-55.828098297119,338,Seasonally dry Semideciduous Parkland Savanna,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Zygia latifolia (L.) Fawc. & Rendle,Zygia latifolia (L.) Fawc. & Rendle,"Pandeiros, floresta decidual",Brazil,-15.511699676514,-44.753299713135,487,Seasonally dry Deciduous Broadleaved Forest,"SCOLFORO, J.R.S. & CARVALHO, L.M.T. (EDS.) 2007 Editora UFLA, Lavras, MG, Brasil. Mapeamento e inventário da flora nativa e dos reflorestamentos de Minas Gerais.",NA
Cecropia palmata Willd.,Cecropia palmata Willd.,"Campina Grande, floresta decidual de brejo",Brazil,-7.1536002159119,-35.873600006104,638,Seasonally dry Deciduous Broadleaved Forest,"LOURENÇO, C.E.L. 2002 Dissertação de Mestrado, Universidade Federal Rural de Pernambuco, Recife, PE. Levantamento florístico de um fragmento de mata de agreste, em Lagoa Seca, Paraíba.",NA
Commiphora leptophloeos (Mart.) J.B.Gillet,Commiphora leptophloeos (Mart.) J.B.Gillet,"Jaíba, Serra Azul, caatinga arbórea",Brazil,-15.367300033569,-44.022201538086,NA,NA,"MELLO J.M, SCOLFORO J.R.S. & CARVALHO L.M.T. 2008 Florística, estrutura, diversidade, similaridade, distribuição diamétrica e de altura, volumetria, tendências de crescimento e manejo florestal. In: Inventário Florestal de Minas Gerais: Floresta estacional decidual.  Florística, estrutura, diversidade, similaridade, distribuição diamétrica e de altura, volumetria, tendências de crescimento e manejo florestal. In: Inventário Florestal de Minas Gerais: Floresta estacional decidual. Editora UFLA. 266",NA
Hamelia patens Jacq.,Hamelia patens Jacq.,"São José do Rio Pardo, floresta semidecidual",Brazil,-21.586700439453,-46.80530166626,722,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Ocotea velutina (Nees) Rohwer,Ocotea velutina (Nees) Rohwer,"Brumadinho, floresta semidecidual",Brazil,-20.177799224854,-44.264701843262,862,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Amburana cearensis (Allemão) A.C.Sm.,Amburana cearensis (Allemão) A.C.Sm.,"Monteiro, caatinga quartzosa",Brazil,-7.8364000320435,-37.193099975586,693,Arid Deciduous Broadleaved Forest,"PEREIRA JR., L.R. 2010 Dissertação de Mestrado, Universidade Federal da Paraíba, Areia, PB, Brasil. Florística e fitossociologia da caatinga, aspectos socioeconomicos e potencial do uso fitoterápico pela população rural de Monteiro, Paraíba.",NA
Eugenia involucrata DC.,Eugenia involucrata DC.,"São Manoel do Paraná, floresta semidecidual",Brazil,-23.279399871826,-51.825801849365,459,Seasonally dry Semideciduous Broadleaved Forest,"VEIGA, M.P.; MARTINS, S.S.; SILVA, I.C.; TORMENA, C.A. & SILVA, O.H. 2003 Avaliação dos aspectos florísticos de uma mata ciliar no Norte do Estado do Paraná. Acta Scientiarum 25 (2): 519-525.",NA
Inga hispida Schott ex Benth.,Inga hispida Schott ex Benth.,"Natividade, floresta semidecidual",Brazil,-21.035600662231,-41.927501678467,470,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Cedrela odorata L.,Cedrela odorata L.,Mata do Krambeck,Brazil,-21.734199523926,-43.371898651123,NA,NA,"BRITO, P.S. 2013 A comunidade arbórea de um trecho de floresta atlântica secundária no jardim botânico da Universidade Federal de Juiz de Fora Dissertação de Mestrado (Ecologia) - Universidade Federal de Juiz de Fora, Juiz de Fora",NA
