scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world
Mimosa microcephala,Fabaceae,Mimosa microcephala Humb. & Bonpl. ex Willd.,Fabaceae,Mimosa microcephala,Humb. & Bonpl. ex Willd.,flowering plants,Accepted,Fabaceae,Humb. & Bonpl. ex Willd.,3.766667,-60.983333,NA,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
Tococa coronata,Melastomataceae,Tococa coronata Benth.,Melastomataceae,Tococa coronata,Benth.,flowering plants,Accepted,Melastomataceae,Benth.,-10.8339,-52.8731,NA,GBIF,F,F,F,Botany,3567,1
Mikania reticulata,Asteraceae,Mikania reticulata Gardner,Asteraceae,Mikania reticulata,Gardner,flowering plants,Accepted,Asteraceae,Gardner,-19.064722,-43.706944,2015-07-03,GBIF,UFU,UFU,UFU,HUFU,2245,1
NA,Asclepiadaceae,Asclepiadaceae,Asclepiadaceae,Asclepiadaceae,Borkh.,flowering plants,Accepted,Asclepiadaceae,Borkh.,-22.021111,-44.001389,2013-07-21,GBIF,UFPE,UFPE,UFPE,UFP,2854,1
Paepalanthus elongatus,Eriocaulaceae,Paepalanthus elongatus Körn.,Eriocaulaceae,Paepalanthus elongatus,Körn.,flowering plants,Accepted,Eriocaulaceae,Körn.,-20.633889,-46.264722,2005-09-30,GBIF,UFU,UFU,UFU,HUFU,2245,1
NA,Pteridaceae,Adiantum L.,Pteridaceae,Adiantum,L.,ferns and allies,Accepted,Pteridaceae,L.,-21.728389,-44.961889,2015-11-19,GBIF,UNISANTA,UNISANTA,UNISANTA,HUSC,2874,1
Senegalia polyphylla,Fabaceae,Senegalia polyphylla (DC.) Britton & Rose,Fabaceae,Senegalia polyphylla,(DC.) Britton & Rose,flowering plants,Accepted,Fabaceae,(DC.) Britton & Rose,-10.566667,-63.583333,1987-04-22,GBIF,"Instituto de Botânica, IBT","Instituto de Botânica, IBT","Instituto de Botânica, IBT",SP,3012,1
NA,Apocynaceae,Malouetia A.DC.,Apocynaceae,Malouetia,A. DC.,flowering plants,Accepted,Apocynaceae,A. DC.,-0.5669,-61.51,2012-07-15,GBIF,Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",2095,1
Schlumbergera truncata,Cactaceae,Schlumbergera truncata (Haw.) Moran,Cactaceae,Schlumbergera truncata,(Haw.) Moran,flowering plants,Accepted,Cactaceae,(Haw.) Moran,NA,NA,1982-05-26,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Grazielia intermedia,Asteraceae,Grazielia intermedia (DC.) R.M.King & H.Rob.,Asteraceae,Grazielia intermedia,(DC.) R.M. King & H. Rob.,flowering plants,Accepted,Asteraceae,(DC.) R.M. King & H. Rob.,-27.895303,-49.79945,2010-03-03,GBIF,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),BHCB,2515,1
