database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,.scientificName_empty,.basisOfRrecords_notStandard,country_suggested,countryCode,coordinates_transposed,.coordinates_country_inconsistent
IDIGBIO_1498,LAURACEAE Ocotea,,,ef078954-4671-4839-9e76-e948be67087e,"",Brasil,"","","",,PreservedSpecimen,"",,"",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1499,Psidium myrtoides,,,524baddd-3126-4ab1-b5fc-ef314731fc96,"",Brasil,Distrito Federal,"","Estação Ecológica do Jardim Botânico de Brasília, Transecto 4/5",,PreservedSpecimen,"Proença, CEB",,"Azevedo, INC de; Jesus, FPR de",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1500,Machaerium oblongifolium,,,ea701cbd-b24f-45bb-b003-2f850646796d,"",Brasil,Minas Gerais,"","Vale do Rio Araguari, Mata do Vasco.",,PreservedSpecimen,"",,"Mota, A.L.P.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1501,Poecilanthe ulei,,,ef6792be-0542-45b0-b951-ef60b3d94101,"",Brasil,Alagoas,"",Fazenda Boca da Mata.,,PreservedSpecimen,E.C.O.Chagas,,Chagas-Mota,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1502,Chiococca nitida,,,4738c1bb-c2be-424d-8994-e037562ada2d,"",Brasil,Paraíba,"","Reserva Biológica Guaribas, Área II",,PreservedSpecimen,"Taylor, CM",,"Pereira, MS",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1503,Croton  L.,,,4b181aec-5b63-4c21-83fb-ae268cf512c2,1976-09-28,Brazil,Sao Paulo,"","Estrada desde Monteiro Lobato, Perto do Hotel Toriba",,PreservedSpecimen,"",,Davis PH; et al.,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1505,Aechmea recurvata,,,531ec278-2266-463f-ba51-f32216948994,"",Brasil,RS,"",Fazenda Santa Fé APA do Banhado Grande,,PreservedSpecimen,"Romanini, R",,"Breier, TB",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1506,Xyris schizachne Mart.,,,0683047b-dbb3-4ad3-bfb6-c212ebde12e3,1978-02-01,Brazil,"","","Jatau: BR-364, km 136.",,PreservedSpecimen,"Hansen, B.",,"Pedersen, T.M.",TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1508,Chrysolaena simplex (Less.) Dematt.,,,da2a3b06-f7d1-4272-b093-43067ef677da,18/08/1954,Brasil,Minas Gerais,"",Serra do Curral.,,PreservedSpecimen,"J.N. Nakajima,R. Borges & M.M. Saavedra",,Pe. Luiz Roth,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
IDIGBIO_1509,Wissadula periplocifolia,,,ebd89621-91d5-4446-ab0a-9b593dcb2966,"",Brasil,Pernambuco,"",Estação Ecológica do Tapacurá,,PreservedSpecimen,G.S.Baracho,,A.M.Miranda,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE
