database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,.missing_name,.missing_xy,.invalid_xy,.xy_provenance,country_suggested,countryCode,transposed_xy,.xy_out_country,.summary
GBIF_69,Chusquea capituliflora Trin.,,,1089107893,2006-10-25 00:00:00,BR,São Paulo,,Parque Estadual Intervales.,,PRESERVED_SPECIMEN,"Santos, AG",,"Santos, AG",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_70,Diplasia karatifolia Rich.,,,1314898365,1983-08-07 00:00:00,BR,Amapá,,Amapá,,PRESERVED_SPECIMEN,"",,"Rabelo, B.V.; Mori, S.A.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_71,Lecythis pisonis Cambess.,,,1042490259,1963-08-26 00:00:00,BR,Rio de Janeiro,,Quinta da Boa Vista.,,PRESERVED_SPECIMEN,"Mori, S.A.",,Mike Hopkins,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_72,Streptogyna americana C.E.Hubb.,,,1096929730,2007-05-15 00:00:00,BR,Es,,Parcela 100x100 da Gávea,,PRESERVED_SPECIMEN,Geovane S. Siqueira,,"Folli, D.A.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_73,Polygala cuspidata DC.,,,1086899553,2002-12-26 00:00:00,BR,Sp,,P.E.Juqueri,,PRESERVED_SPECIMEN,"",,J.B.Baitello,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_75,Diplusodon microphyllus Pohl,,,1424005359,1979-05-23 00:00:00,BR,Minas Gerais,,Cachoeira das Andorinhas.,,PRESERVED_SPECIMEN,A.Lourteig,,L.Mautone,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_76,Casearia commersoniana Cambess.,,,1423977344,1994-08-24 00:00:00,BR,Rio de Janeiro,,"J.B.R.J., SUBINDO DO CACTÁRIO.",,PRESERVED_SPECIMEN,C.GARCIA,,A.QUINET; P.BOTELHO & R. MARQUETE,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_80,Aeschynomene paniculata Willd.,,,2517199262,1971-01-13 00:00:00,BR,"",,"Plants of the Planalto do Brasil. Estado de Minas Gerais. Serra do Espinhaço. Base of Serra da Piedade, ca. 35km E. of Belo Horizonte, road to Caete.",,PRESERVED_SPECIMEN,"",,Irwin HS; Harley RM; Onishi E,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_82,Costus sprucei Maas,,,1424208419,1924-03-18 00:00:00,BR,Pará,,Santa Júlia,,PRESERVED_SPECIMEN,P.J.M. Maas,,J.G. Kuhlmann,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_84,Jasminum azoricum L.,,,1424731198,2003-03-28 00:00:00,BR,São Paulo,,"IAC, Faz. Santa Elisa",,PRESERVED_SPECIMEN,"",,E. Zuchiwschi,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_85,Guettarda viburnoides Cham. & Schltdl.,,,1086875964,,BR,Sp,,Horto Florestal,,PRESERVED_SPECIMEN,"",,M.Koscinski,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_88,Coccoloba marginata Benth.,,,1077197642,1993-08-13 00:00:00,BR,Bahia,,Baixo Sul,,PRESERVED_SPECIMEN,"Melo, E",,"Guedes, ML; et al.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_90,Inga capitata Desv.,,,1094862515,2005-10-28 00:00:00,BR,Bahia,,Parque Metropolitano de Pituaçu.,,PRESERVED_SPECIMEN,L.P.de Queiroz,,"Matos, V.R.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_91,Baccharis helichrysoides DC.,,,2237769197,2003-02-25 00:00:00,BR,Paraná,,Conceição dos Túlios.,,PRESERVED_SPECIMEN,O.S. Ribas,,O.S. Ribas; J. Cordeiro; E.F. Costa,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
