database_id,occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,family,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,taxonRank,identifiedBy,coordinateUncertaintyInMeters,recordedBy,cntr_suggested,cntr_iso2c,.inverted_xy,iso2c,iso3c,.invalid_xy,.outside_xy,.no_xy,.no_name,.doubtful_provenance,.locality_no_xy
IDIGBIO_4321,ce816cc2-7e66-4890-ba01-10f1d66844b5,Scyphonychium multiflorum,NA,NA,NA,Sapindaceae,Brasil,Bahia,NA,Quadra D do CEPEC.,NA,PreservedSpecimen,NA,M. S. Ferrucci,NA,T. S. dos Santos,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4322,c7b2b297-958a-4b0d-9662-dab45f66b402,Bryopsis pennata,NA,NA,NA,Bryopsidaceae,Brasil,Espírito Santo,NA,"Barra do Jucu,Praia da Concha",NA,PreservedSpecimen,NA,Diógina Barata,NA,Diógina Barata,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4323,d126f585-9588-439d-b5e6-ae8ab8e26b08,Begonia platanifolia,NA,NA,NA,Begoniaceae,Brasil,Espírito Santo,NA,Serra da Roseira,NA,PreservedSpecimen,NA,L.Kollmann,NA,L. Kollmann,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4324,0e701f94-23d0-4c52-8023-a364864471cd,Rhynchospora confinis,NA,NA,NA,Cyperaceae,Brasil,Minas Gerais,NA,Rio Claro.,NA,PreservedSpecimen,NA,NA,NA,"Meyer, ST",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4326,25a4fa70-0c6d-42ff-bf49-f3cc2d50126a,Protium heptaphyllum,NA,NA,NA,Burseraceae,Brasil,Bahia,NA,Arredores da cidade. Restinga arbustiva.,NA,PreservedSpecimen,NA,"Pirani, JR",NA,"Hatschbach, G",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4329,76649ea9-53c4-46cc-8f38-3213c7eb6a0b,Ulva rigida C.Agardh,NA,NA,12/12/1986,Ulvaceae,Brasil,Rio de Janeiro,NA,Praia do forte São Mateus.,NA,PreservedSpecimen,sp.,NA,NA,R.P. Reis- Santos; Et al.,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4331,75346a37-57ed-4169-a056-e8ab23068e3d,Bonafousia tessamanii Markgr.,NA,NA,1966-10-29,Apocynaceae,Brasil,Acre,Cruzeiro do Sul,Rio Moa,NA,Preserved Specimen,NA,"Markgraf, F.",NA,"""Prance, G.T.; Pena, B.S. & Ramos, J.F.""",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4332,34f88fc8-9340-4288-9817-df1bef2aa22d,Cyanaeorchis minor Schltr.,NA,NA,1914-10-20,Orchidaceae,Brazil,Paraná,NA,Paraná: in campo paludoso inter lago et Desvio Ribas sito.,NA,preservedspecimen,NA,NA,NA,P.Dusén,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4336,c7f3099b-0c12-494f-b081-916bf2f7234c,Crotalaria vitellina minor,NA,NA,NA,Leguminosae-Pap.,Brasil,Ceará,NA,Near Maçapé,NA,PreservedSpecimen,NA,NA,NA,"Gardner, G.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4338,8603512b-6b3e-4c67-b529-d2cb3041d280,Cyathea phalerata,NA,NA,NA,Cyatheaceae,Brasil,Bahia,NA,Serra do Tombador,NA,PreservedSpecimen,NA,I. Fernandes,NA,I. Pontual,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4339,02fce2b6-7bd2-4fac-8900-61514851ceb4,Miconia nervosa,NA,NA,NA,Melastomataceae,Brasil,Minas Gerais,NA,Parque do Sabiá,NA,PreservedSpecimen,NA,"Rocha, V.",NA,"Simão, D.G.; et al.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4345,6ea1f15d-c946-44c1-9033-625848c98c06,Axonopus,NA,NA,1946-03-20/1946-03-23,Poaceae,Brazil,Paraná,NA,"Fazenda Capao Redondo, Guarapuava",NA,PreservedSpecimen,Genus,NA,NA,J. R. Swallen,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4347,fdaf7998-a16b-449e-aba9-75c28d008acd,Emilia sonchifolia,NA,NA,NA,Asteraceae,Brasil,Paraíba,NA,Campus I da UFPB,NA,PreservedSpecimen,NA,Rita Pereira,NA,"Santana, E.S.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4348,d442829a-07b2-4f07-9637-7a6433c0423f,Gomesa uniflora,NA,NA,NA,Orchidaceae,Brasil,São Paulo,NA,"Estrada Cunha-Paorati, Sardinha. Cultivada em São Paulo, fl. 4/I/1965",NA,PreservedSpecimen,NA,"Laitano, TL",NA,"Targa, HJ",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4350,89ebfa23-3027-4e8f-9ef7-3946af2a5ffc,Petiveria alliacea,NA,NA,NA,Phytolaccaceae,Brazil,Paraíba,Areia,Escola de Agronomia do Nordeste,NA,PreservedSpecimen,NA,NA,NA,J. Coelho de Moraes,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IDIGBIO_4352,a703b7c2-af3c-4ce7-93b7-9ad6ebee1c04,Ocimum cf. basilicum,NA,NA,NA,Lamiaceae,Brasil,Rio Grande do Sul,NA,Niterói; Propriedade particular de Ieda Silveira Leite.,NA,PreservedSpecimen,NA,"Bordignon, S.",NA,"Leite, I.S.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
