input,sort,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
GBIF:3796297,243,GBIF:3796297,Mimosa pseudoradula detonsa,variety,accepted,GBIF:3796297,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,pseudoradula,detonsa,7266229,,Barneby,
GBIF:7263763,244,GBIF:7263763,Geissomeria longiflora,species,accepted,GBIF:7263763,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Geissomeria,longiflora,,9427730,3778472,Lindl.,
GBIF:3774957,245,GBIF:3774957,Geissomeria nitida,species,accepted,GBIF:3774957,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Geissomeria,nitida,,9427730,,Nees,
GBIF:10324804,246,GBIF:10324804,Humiria balsamifera balsamifera,subspecies,accepted,GBIF:10324804,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Humiriaceae,Humiria,balsamifera,balsamifera,8196855,,,
GBIF:7320164,247,GBIF:7320164,Humiria balsamifera balsamifera,form,accepted,GBIF:7320164,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Humiriaceae,Humiria,balsamifera,balsamifera,8196855,,,
GBIF:7320136,248,,,,,,,,,,,,,,,,,
GBIF:1214429,249,GBIF:1214429,Heteropsis,genus,accepted,GBIF:1214429,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heteropsis,,,7017,,"Westwood, 1850",
GBIF:2867803,250,GBIF:2867803,Heteropsis,genus,accepted,GBIF:2867803,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Heteropsis,,,6979,,Kunth,
GBIF:1967231,251,GBIF:1967231,Amygdaloptera,genus,accepted,GBIF:1967231,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Amygdaloptera,,,6950,,"Gumppenberg, 1887",
GBIF:7794280,252,GBIF:7794280,Astraea gardneri,species,accepted,GBIF:7794280,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Astraea,gardneri,,3074966,3058915,Caruzo (Müll.Arg.),
GBIF:7428961,253,GBIF:7428961,Euploca salicoides,species,accepted,GBIF:7428961,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Heliotropiaceae,Euploca,salicoides,,7917854,7500658,J.I.M.Melo & Semir (Cham.),
GBIF:5823939,254,GBIF:5823939,Palisada flagellifera,species,accepted,GBIF:5823939,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Palisada,flagellifera,,4375909,2659605,K.W.Nam (J.Agardh),
GBIF:7317333,255,GBIF:7317333,Macoubea guianensis,species,accepted,GBIF:7317333,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Macoubea,guianensis,,7317310,,Aubl.,
GBIF:6561682,256,GBIF:6561682,Crotalaria pallida obovata,subspecies,accepted,GBIF:6561682,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Crotalaria,pallida,obovata,8260433,,Aiton,黃野百合
GBIF:2942716,257,GBIF:2942716,Crotalaria pallida obovata,variety,accepted,GBIF:2942716,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Crotalaria,pallida,obovata,8260433,2942717,Polhill (G.Don),smooth rattlebox
GBIF:3085045,258,GBIF:3085045,Blutaparon,genus,accepted,GBIF:3085045,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Blutaparon,,,3064,,Raf.,
GBIF:7278361,259,GBIF:7278361,Senna multijuga multijuga,variety,accepted,GBIF:7278361,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,multijuga,multijuga,2957158,,,leafy cassia
GBIF:7225424,260,GBIF:7225424,Senna multijuga multijuga,subspecies,accepted,GBIF:7225424,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,multijuga,multijuga,2957158,8266048,,
GBIF:7922306,261,GBIF:7922306,Eclipta,genus,accepted,GBIF:7922306,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Eclipta,,,5602,,"Bates, 1873",
GBIF:3086569,262,GBIF:3086569,Eclipta,genus,accepted,GBIF:3086569,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Eclipta,,,3065,,L.,eclipta
GBIF:7268859,263,GBIF:7268859,Esenbeckia grandiflora grandiflora,subspecies,accepted,GBIF:7268859,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Esenbeckia,grandiflora,grandiflora,7268853,,,
GBIF:7268854,264,GBIF:7268854,Esenbeckia grandiflora grandiflora,variety,accepted,GBIF:7268854,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Esenbeckia,grandiflora,grandiflora,7268853,,,Yellow Gasparee
GBIF:3241546,265,GBIF:3241546,Erythrina,genus,accepted,GBIF:3241546,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Erythrina,,,5242,,"Blyth, 1852",
