database_id,occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,family,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,taxonRank,identifiedBy,coordinateUncertaintyInMeters,recordedBy,cntr_suggested,cntr_iso2c,decimalLongitude_modified,decimalLatitude_modified,iso2c,iso3c,.xy_issue
GBIF_8601,1051229024,Senecio leptolobus DC.,NA,NA,1950-04-05T00:00:00Z,Asteraceae,BR,NA,NA,Barra do Ribeiro.,NA,PRESERVED_SPECIMEN,SPECIES,"Matzenbacher, N.I.",NA,"Rambo, B.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8602,1702658192,Antigonon leptopus Hook. & Arn.,NA,NA,2017-05-31T00:00:00Z,Polygonaceae,BR,Maranhão,NA,APA do Itapiracó,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,"REIS, T. O.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8604,1077263974,Adiantum pentadactylon Langsd. & Fisch.,NA,NA,1984-08-09T00:00:00Z,Pteridaceae,BR,Minas Gerais,NA,"Rio do Peixe - Fazenda São Mateus, No chão da mata.",NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,R.F. Novelino; J.R.Oliveira,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8606,2517248220,Hieronyma alchorneoides var. alchorneoides,NA,NA,1957-11-28T00:00:00Z,Phyllanthaceae,BR,Santa Catarina,NA,"Sabia, Vidal Ramos",NA,PRESERVED_SPECIMEN,VARIETY,NA,NA,Klein RM,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8607,1095358302,Hypericum caprifoliatum Cham. & Schltdl.,NA,NA,2001-12-06T00:00:00Z,Hypericaceae,BR,Rs,NA,Mangueirinha,NA,PRESERVED_SPECIMEN,SPECIES,"Vogel-Ely, C",NA,"Bordignon, SAL; et al.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8609,1944754949,Capsicodendron dinisii (Schwacke) P.Occhioni,NA,NA,2008-09-27T00:00:00Z,Canellaceae,BR,Santa Catarina,NA,Barbaquá.,NA,PRESERVED_SPECIMEN,SPECIES,"Andersen, S.",NA,"Andersen, S.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8610,1077279431,Senna multijuga (Rich.) H.S.Irwin & Barneby,NA,NA,2003-05-30T00:00:00Z,Fabaceae,BR,Minas Gerais,NA,"Campus da UFJF, Praça Cívica",NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,"P.A.Abreu; V.Terra, RBatista",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8613,1087611503,Vernonia psilostachya DC.,NA,NA,1944-04-22T00:00:00Z,Asteraceae,BR,Minas Gerais,NA,Serra do Sacramento.,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,NA,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8616,1424090885,Coussarea contracta (Walpert) Müll.Arg.,NA,NA,1956-01-01T00:00:00Z,Rubiaceae,BR,Amapá,NA,NA,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,Miranda Bastos,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8622,1087468537,Crotalaria martiana Benth.,NA,NA,NA,Fabaceae,BR,Minas Gerais,NA,Serra de Capanema,NA,PRESERVED_SPECIMEN,SPECIES,"Dutra, V.F.",NA,"Gomes, H.M.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8624,1986484711,Echinodorus macrophyllus Michell,NA,NA,2015-04-19T00:00:00Z,Alismataceae,BR,Rio de Janeiro,NA,estrada para a lagoa de Juturnaíba,NA,PRESERVED_SPECIMEN,SPECIES,"Canalli, Y.M.",NA,"Canalli, Y.M. 86; Greco, A.V.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8625,2618456957,Epidendrum aquaticum Lindl.,NA,NA,1971-11-14T00:00:00Z,Orchidaceae,BR,Minas Gerais,NA,Rod. Br 259 (mun. Datas) Minas Gerais.,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,G. Hatschbach et P. Pelanda,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8626,1291658311,Turnera hermannioides Cambess.,NA,NA,NA,Turneraceae,BR,NA,NA,NA,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,s.coll.,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8629,2459833128,Paepalanthus Mart.,NA,NA,2007-01-13T00:00:00Z,Eriocaulaceae,BR,Goiás,NA,NA,NA,PRESERVED_SPECIMEN,GENUS,NA,NA,"Bosquetti, L.B.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8630,1077266865,Kielmeyera Mart. & Zucc.,NA,NA,1989-05-31T00:00:00Z,Calophyllaceae,BR,Minas Gerais,NA,Serra de São José,NA,PRESERVED_SPECIMEN,GENUS,L. Marinho,NA,L. Krieger; M.C. Brügger,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8632,667575759,Campyloneurum phyllitidis C.Presl,NA,NA,NA,Polypodiaceae,BR,NA,NA,NA,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,"Glaziou, A.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8633,1265494781,Dimerostemma brasilianum Cass.,NA,NA,1969-02-11T00:00:00Z,Asteraceae,BR,NA,NA,"31km NE of Francisco Sá, road to Salinas.",NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,"Souza, R.; Irwin, H.S.; Santos, R.R.; Fonseca, S.F.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8634,1978402648,Solanum wendlandii Hook.f.,NA,NA,1945-12-13T00:00:00Z,Solanaceae,BR,São Paulo,NA,NA,NA,PRESERVED_SPECIMEN,SPECIES,"Stehmann, JR",NA,"Joly, AB",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8635,1230573142,Ditassa decussata Mart.,NA,NA,1974-12-13T00:00:00Z,Apocynaceae,BR,NA,NA,"Brasil, Minas Gerais: estrada Curvelo-Diamantina, km 118-119.",NA,PRESERVED_SPECIMEN,SPECIES,A. Rapini 1997,NA,"Menezes,N.L. & Froelich,E.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8636,1449763776,Clidemia urceolata DC.,NA,NA,NA,Melastomataceae,BR,Rio de Janeiro,NA,NA,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,"Carauta,J.P.P.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8637,1998332185,Guatteria maypurensis var. attenuata R.E.Fr.,NA,NA,1853-01-01T00:00:00Z,Annonaceae,BR,NA,NA,"Prope San Carlos, ad Rio Negro",NA,PRESERVED_SPECIMEN,VARIETY,NA,NA,R. Spruce,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8639,1077527251,Solanum reptans Bunb.,NA,NA,1974-09-04T00:00:00Z,Solanaceae,BR,Bahia,NA,"Município Una. Fazenda Dendhevea - Rod. Rio Branco/Una, km 40 - Mata",NA,PRESERVED_SPECIMEN,SPECIES,"Stehmann, J.R.",NA,"dos Santos, T.S.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8640,1424480187,Leandra refracta Cogn.,NA,NA,2013-03-30T00:00:00Z,Melastomataceae,BR,São Paulo,NA,"UHE da Fumaça. Trilha do Chagas, Beira da Estrada.",NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,J. Kuntz; G.D. Colleta; V.J. Girão; V.S. Moreno; V.C. Souza; R.R. Rodrigues; J.Y. Tamashiro; N.M. Ivanauskas,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8641,2452848831,Syzygium jambos (L.) Alston,NA,NA,1929-09-25T00:00:00Z,Myrtaceae,BR,São Paulo,NA,Xiririca. Cultivado.,NA,PRESERVED_SPECIMEN,SPECIES,"Cerati, TM",NA,"Hoehne, FC",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8642,1087046393,Blechnum serrulatum L.C.Rich.,NA,NA,1988-08-03T00:00:00Z,Blechnaceae,BR,Pernambuco,NA,"Mata do Quartel General, Comando Regional do NE.",NA,PRESERVED_SPECIMEN,SPECIES,"Pontes, A.R.",NA,"Pontes, A.R.; Barros, I.C.L.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8643,912419656,Mimosa annularis var. annularis,NA,NA,NA,Fabaceae,BR,NA,NA,"In""capoeiras"" ad Panuré",NA,PRESERVED_SPECIMEN,VARIETY,NA,NA,"Spruce, R.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8645,1042508536,Setaria viridis (L.) P.Beauv.,NA,NA,1961-03-01T00:00:00Z,Poaceae,BR,Amapá,NA,Porto Santana.,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,Mike Hopkins,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8646,1314783833,Amasonia L.f.,NA,NA,1963-06-27T00:00:00Z,Lamiaceae,BR,Pará,NA,Belém,NA,PRESERVED_SPECIMEN,GENUS,NA,NA,"Araújo, J.M.P. de",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8647,1314815335,Echinodorus tenellus (Mart. ex Schult.f.) Buchenau,NA,NA,1979-11-04T00:00:00Z,Alismataceae,BR,Pará,NA,Brasil,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,"Rabelo, B.V.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8649,1802955811,Sisyrinchium micranthum Cav.,NA,NA,2004-11-23T00:00:00Z,Iridaceae,BR,Rs,NA,Lagoa da Porteira,NA,PRESERVED_SPECIMEN,SPECIES,"Inácio, C. D.",NA,"Mauhs, J.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8651,1096725608,Phoradendron quadrangulare (Kunth) Griseb.,NA,NA,1946-01-10T00:00:00Z,Santalaceae,BR,Rio Grande do Sul,NA,"Brasilia, Rio Grande do Sul. S. Leopoldo, ad urbem.",NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,B. Rambo,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8653,1929864707,Clitoria javitensis Benth.,NA,NA,1969-08-24T00:00:00Z,Fabaceae,BR,Pará,NA,"Santarém, km 35 da estrada do Palhao, arredores do Acampamento do Igarapé Curupira.",NA,PRESERVED_SPECIMEN,SPECIES,H. S. Irwin,NA,M. B. Silva,BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8654,1087473007,Elephantopus biflorus Sch.Bip.,NA,NA,NA,Asteraceae,BR,Minas Gerais,NA,Itacolomi,NA,PRESERVED_SPECIMEN,SPECIES,"Badini, J.",NA,"Badini, J.",BRAZIL,BR,NA,NA,NA,NA,TRUE
GBIF_8656,2459933568,Siphocampylus sulfureus E.Wimm.,NA,NA,1969-12-21T00:00:00Z,Campanulaceae,BR,Paraná,NA,NA,NA,PRESERVED_SPECIMEN,SPECIES,"Godoy, S.A.P.",NA,"Krieger, L.",BRAZIL,BR,NA,NA,NA,NA,TRUE
