SpName,Longitude,Latitude
Alchornea triplinervia,-45.0808,-23.3739
Cordia toqueve,-36.0936,-9.78111
Chomelia anisomeris,-43.791111,-14.324167
Luehea divaricata,-52.3736,-30.1914
Ficus citrifolia,-47.75,-21.5
Ocotea puberula,-40.801389,-18.955833
Palicourea blanchetiana,-39.46,-13.89
Esenbeckia leiocarpa,-39.6372,-14.7053
Senna macranthera,-40.96985,-20.285389
Syagrus romanzoffiana,-48.5284,-22.0834
Miconia cubatanensis,-48.966667,-25.868889
Tibouchina stenocarpa,-56.0967,-15.5961
Myrcia guianensis,-60.7,2.8
Piptadenia viridiflora,-36.3628,-7.05722
Zanthoxylum acuminatum,-39.28,-14.6
Pouteria venosa,-37.081667,-10.737778
Chiococca alba,-40.383056,-13.402778
Clidemia hirta,-40.490556,-12.318611
Endlicheria paniculata,-53.49,-23.7361
Cereus jamacaru,-43.901111,-16.664722
Senna splendida,-50.15,-25.08
Miconia ligustroides,-48.8229,-23.3317
Guatteria pogonopus,-40.589167,-19.922222
Cedrela odorata,-38.6856,-3.89083
Bixa orellana,-35.2925,-5.47111111
Xylopia aromatica,-46.9914,-20.9169
Chiococca alba,-48.2772,-18.9186
Psidium brownianum,-39.8589,-18.7161
Casearia grandiflora,-43.485,-9.221389
Abarema filamentosa,-39.016667,-14.25
Dodonaea viscosa,-41.1,-11.581944
Myrcia laruotteana,-48.93,-26.72
Ocotea silvestris,-49.23,-27.27
Croton sellowii,-36.94,-10.593333
Mimosa adenophylla,-41.758611,-13.604444
Varronia polycephala,-43.8981,-22.6292
Miconia albicans,-43.2075,-22.9028
Trembleya parviflora,-49.9486,-24.5261
Zanthoxylum rhoifolium,-49.7269,-29.3353
Aegiphila mediterranea,-49.1989,-25.9281
Swartzia oblata,-46.33,-23.96
Miconia ciliata,-38.31,-12.49
Myrcia multiflora,-45.816389,-15.230833
Nectandra megapotamica,-53.9017,-23.8744
Cryptocarya aschersoniana,-46.9533333,-23.2375
Cestrum schlechtendalii,-39.0833333,-15.15
Brosimum gaudichaudii,-48.8086,-15.9236
Myrcia thyrsoidea,-40.0722,-19.3911
Endlicheria paniculata,-48.363056,-23.413611
Copaifera langsdorffii,-45.033333,-12.383333
Tovomita brasiliensis,-35.4914,-7.59111
Miconia albicans,-48.8,-15.8
Myrcia laruotteana,-50.5803,-23.9108
Coussarea contracta,-39.635833,-15.926667
Bauhinia longifolia,-50.6456,-23.4936
Miconia ligustroides,-56.0861,-9.87556
Miconia prasina,-54.2708,-23.9381
Piper glabratum,-49.06,-22.31
Mollinedia schottiana,-41.083611,-20.516111
Poeppigia procera,-37.82,-8.9
Anacardium occidentale,-55.9675,-16.1944
Guatteria australis,-38.0844,-11.9419
Ficus pertusa,-72.71,-8.97
Piptadenia gonoacantha,-50.975556,-23.540833
Tapirira guianensis,-48.439722,-14.652222
Diospyros sericea,-50.5031,-10.4697
Albizia polycephala,-39.731944,-14.176389
Dalbergia frutescens,-51.0481,-23.2692
Eugenia pyriformis,-53.9964,-25.2408
Piper cernuum,-41.9,-13.283333
Myrcia palustris,-47.55,-24.7
Posoqueria latifolia,-48.1417,-0.858333
Miconia albicans,-49.883333,-9.383333
Senegalia polyphylla,-42.483333,-14.083333
Banara guianensis,-48.333333,-1.333333
Sapindus saponaria,-41.5675,-21.1536
Tocoyena formosa,-45.94,-15.31
Alibertia edulis,-46.416667,-10.583333
Myrcia guianensis,-48.836667,-15.790833
Peltophorum dubium,-51.0364,-23.0586
Eugenia speciosa,-40.425421,-20.601956
Andira fraxinifolia,-39.2803,-14.7856
Basiloxylon brasiliensis,-46.63,-23.54
Miconia albicans,-51.75,-12.85
Clusia nemorosa,-41.001111,-11.628056
Guapira venosa,-52.2064,-3.20333
Strychnos brasiliensis,-43.9378,-19.9208
Lantana camara,-46.43,-14.3
Eugenia florida,-60.025,-3.10194
Inga laurina,-35.9394,-8.9725
Campomanesia xanthocarpa,-46.9194,-22.6061
Miconia budlejoides,-48.9175,-27.0981
Eugenia punicifolia,-42.98,-22.92
Piptocarpha macropoda,-42.551944,-19.834167
Myrsine monticola,-40.4308,-13.4411
Cestrum axillare,-39.38,-14.33
Qualea multiflora,-48.23,-13.58
Stryphnodendron adstringens,-48.405556,-14.3575
Hirtella hebeclada,-47.916667,-24.883333
Hirtella gracilipes,-46.6666667,-15.9166667
Allophylus edulis,-52.432611,-24.532833
Sloanea guianensis,-48.8758334,-15.8044444
Inga marginata,-39.0647,-16.4497
Celtis iguanaea,-47.876389,-15.583333
Hornschuchia bryotrophe,-40.2,-19.28
Baccharis linearifolia,-52.3425,-31.7719
Psychotria carthagenensis,-48.8344,-25.4769
Casearia decandra,-51.74,-27.0067
Myrcia pulchra,-49.2,-25.53
Casearia sylvestris,-49.130278,-25.295556
Senegalia polyphylla,-67.63,-9.75
Siparuna guianensis,-47.52,-23.21
Psychotria suterella,-49.86,-28.8
Ilex brevicuspis,-50.14,-26.37
Piper xylosteoides,-49.229167,-27.721111
Capsicum flexuosum,-51.4606,-27.6717
Blepharocalyx salicifolius,-54.5881,-25.5478
Faramea multiflora,-40.51,-15.8
Zanthoxylum riedelianum,-45.0694,-16.3686
Calyptranthes lucida,-47.55,-24.7
Piper aduncum,-46.99,-20.92
Coccoloba densifrons,-52.5511,-17.5694
Chiococca alba,-39.479722,-12.880556
Ficus calyptroceras,-46.9406,-19.5933
Bathysa mendoncaei,-38.9967,-14.2775
Solanum pseudoquina,-48.680111,-26.369833
Eugenia excelsa,-35.1289,-6.38
Tapirira guianensis,-38.9967,-14.2775
Myrcia bicolor,-46.71694444,-23.81861111
Psychotria mapourioides,-39.05,-16.27
Alchornea glandulosa,-47.1658,-21.8322
Guarea macrophylla,-46.5187,-23.4905
Lafoensia pacari,-54.364833,-20.594361
Varronia curassavica,-41.313333,-12.765278
Piper amalago,-50.8075,-22.2469444
Erythroxylum subrotundum,-40.0919444,-13.8991666
Curatella americana,-36.5864,-10.2903
Byrsonima sericea,-39.05,-13.35
Pterogyne nitens,-43.3089,-15.8025
Laplacea fructicosa,-49.7,-24.25
Miconia rubiginosa,-47.47,-21.85
Casearia sylvestris,-48.6619,-26.9078
Miconia chartacea,-40.537222,-19.804167
Myrcia variabilis,-44.18,-17.8733
Sebastiania brasiliensis,-50.19,-20.14
Inga laurina,-48.9592,-15.8525
Tocoyena formosa,-42.4656,-16.9517
Senegalia tenuifolia,-48.8086,-15.9236
Inga edulis,-47.6886,-23.3503
Zanthoxylum rhoifolium,-39.766667,-12.7
Eugenia dodonaeifolia,-46.9422,-22.3722
Myrciaria glanduliflora,-43.7931,-21.8425
Campomanesia eugenioides,-36.8791667,-8.575
Eugenia hiemalis,-49.7,-24.25
Vernonanthura phosphorica,-42.9675,-21.4597
Humiria balsamifera,-54.91,-9.7875
Psidium myrsinites,-44.511944,-7.268889
Ocotea gardneri,-35.895,-9.71028
Cestrum bracteatum,-42.9675,-21.4597
Brunfelsia uniflora,-43.5081,-20.2875
Croton heliotropiifolius,-37.37558333,-10.74227778
Chrysophyllum gonocarpum,-50.72,-21.3
Vitex polygama,-46.989444,-14.296667
Piper corcovadensis,-49.68,-28.799722
Trema micrantha,-42.39,-22.65
Psychotria leiocarpa,-47.8811,-24.715
Casearia decandra,-53.375,-29.8133
Miconia sellowiana,-46.37,-20.25
Tetrorchidium rubrivenium,-47.92,-24.38
Cecropia pachystachya,-47.47,-20.25
Ocotea glomerata,-34.9775,-7.721389
Vernonanthura discolor,-45.068333,-23.325
Pera heteranthera,-38.88,-15.86
Daphnopsis martii,-45.41,-23.76
Piper ovatum,-40.5327778,-19.9688889
Miconia hyemalis,-50.129444,-26.999444
Ocotea porosa,-49.345556,-26.215
Ouratea cuspidata,-40.8394,-14.8661
Cordiera concolor,-49.203611,-26.883333
Tapirira guianensis,-35.0639,-8.39889
Tabernaemontana catharinensis,-54.59,-25.55
Ossaea amygdaloides,-46.71666667,-23.55
Bredemeyera floribunda,-44.3208,-19.125
Eugenia acutata,-44.4042,-19.2744
Apuleia leiocarpa,-48.19,-18.65
Croton floribundus,-39.0753,-15.2933
Marlierea tomentosa,-39.115,-14.499722
Piper cuyabanum,-47.9127778,-15.9036111
Malouetia arborea,-43.7003,-22.2456
Piper arboreum,-47.8975,-15.9925
Andira fraxinifolia,-35.8089,-8.7825
Senegalia tenuifolia,-38.4597,-6.04167
Sapium glandulosum,-42.6994,-9.01528
Lantana camara,-49.3786,-26.2503
Hirtella bicornis,-52.666667,-0.766667
Coutarea hexandra,-40.530278,-19.971389
Persea willdenovii,-49.9064,-26.3364
Ilex lundii,-41.866667,-13.3
Genipa americana,-48.56,-18.14
Miconia theizans,-46.767222,-20.3425
Nectandra megapotamica,-49.0661,-26.9194
Spondias tuberosa,-39.9411,-7.77833
Ossaea amygdaloides,-49.497222,-28.529167
Apeiba tibourbou,-37.4253,-10.685
Hieronyma alchorneoides,-51.81,-16.96
Strychnos brasiliensis,-50.2428,-24.2458
Tovomita brasiliensis,-40.42538,-20.60369
Manihot tripartita,-44.195167,-19.358778
Ocotea indecora,-50.5803,-23.9108
Alsophila sternbergii,-43.2075,-22.9028
Randia ferox,-50.7608,-24.445
Stryphnodendron adstringens,-43.3908,-18.0042
Leandra melastomoides,-41.0836111,-20.5161111
Eugenia longipedunculata,-48.1872,-18.6472
Cupania oblongifolia,-46.46104722,-23.78314722
Ouratea hexasperma,-48.3603,-10.2128
Piptocarpha rotundifolia,-47.62,-22.22
Podocarpus lambertii,-41.207222,-11.590556
Psychotria carthagenensis,-44.719056,-23.219
Erythroxylum pulchrum,-42.6786,-19.1722
Poincianella pluviosa,-55.7872,-20.4711
Ceiba glaziovii,-38.966667,-12.25
Eugenia astringens,-38.88,-15.86
Coussarea hydrangeifolia,-57.6789,-16.0706
Inga marginata,-60.9,2.43
Hymenaea courbaril,-44.4042,-19.2744
Virola sebifera,-65.583333,-1.833333
Myrcia tomentosa,-39.15,-13.736944
Guarea kunthiana,-61.9517,-10.8853
Leandra variabilis,-49.071839,-26.9215
Endlicheria paniculata,-46.55,-23.11
Podocarpus lambertii,-49.295111,-25.688528
Solanum polytrichum,-39.0647,-16.4497
Sebastiania schottiana,-49.34,-24.11
Calophyllum brasiliense,-44.1722,-17.7575
Psychotria leiocarpa,-45.05,-23.22
Kielmeyera coriacea,-47.9297,-15.7797
Campomanesia guaviroba,-45.560556,-23.591111
Senegalia piauhiensis,-37.7894,-9.66
Miconia ferruginata,-47.806111,-16.454722
Allophylus edulis,-47.64,-22.72
Byrsonima blanchetiana,-42.5467,-3.51556
Dalbergia frutescens,-49.8903,-25.5447
Myrcia spectabilis,-49.078244,-27.059083
Cestrum schlechtendalii,-40.1,-14.433333
Qualea multiflora,-56.433333,-12.816667
Chloroleucon dumosum,-40.318611,-6.738333
Tocoyena formosa,-46.9925,-18.9439
Myrcia venulosa,-51.1455,-23.938667
Paypayrola grandiflora,-49.6725,-3.76611
Helicteres ovata,-43.9758,-21.1869
Piper tuberculatum,-40.455,-3.54167
Lantana fucata,-53.374056,-30.52925
Miconia chamissois,-50.0583,-22.5755
Guettarda angelica,-41.049167,-11.555556
Libidibia ferrea,-38.221667,-7.927778
Hirtella racemosa,-55.9836,-4.27611
Solanum ramulosum,-50.1444,-26.3703
Zanthoxylum fagara,-47.66,-22.12
Inga heterophylla,-49.666667,-2.783333
Eugenia convexinervia,-46.63,-23.54
Bredemeyera floribunda,-47.3,-21.27
Rourea induta,-52.23,-14.63
Symplocos nitidiflora,-49.585,-26.7275
Maprounea brasiliensis,-47.61,-16.76
Manilkara salzmannii,-39.08,-15.29
Psychotria platypoda,-51.866667,-12.9
Swartzia acutifolia,-43.3503,-21.7642
Cestrum strigilatum,-41.8225,-11.406111
Ficus trigonata,-39.2658,-17.7319
Virola sebifera,-47.4583,-13.7975
Virola sebifera,-47.9464,-18.1658
Mabea fistulifera,-50.3779,-22.5953
Psidium brownianum,-39.0166667,-14.4166667
Zanthoxylum acuminatum,-69.22,-10.12
Rudgea jasminoides,-45.080223,-23.373498
Campomanesia adamantium,-50.0119,-24.7911
Allophylus edulis,-35.019722,-7.790556
Eugenia involucrata,-50.5836,-29.4481
Miconia sellowiana,-43.0133333,-22.4638889
Tovomita brasiliensis,-39.28,-14.59
Hancornia speciosa,-56.27,-14.2
Coutarea hexandra,-36.7758,-8.46639
Pseudopiptadenia contorta,-40.9094,-15.5314
Drimys brasiliensis,-51.1903,-28.0536
Miconia cubatanensis,-49.3967,-28.3928
